convo_id,speaker_A,speaker_B,n_utterances,n_A,n_B,centroid_dist_mean,centroid_dist_std,centroid_dist_slope,cross_nn_A_to_B,cross_nn_B_to_A,hausdorff_AB,influence_A_toward_B,influence_B_toward_A,influence_asymmetry_AminusB,turn_jump_mean,turn_jump_std,turn_jump_A_to_B_mean,turn_jump_B_to_A_mean,hull_area_A,hull_area_B,hull_overlap_area,hull_overlap_ratio_min,containment_A_in_B,containment_B_in_A,k_clusters,entropy_total,entropy_A,entropy_B,mi_speaker_cluster,nmi_speaker_cluster,mi_turn_clusters,nmi_turn_clusters,entropy_slope_A,entropy_slope_B,align_eps,align_lag_A_to_B,align_lag_B_to_A,align_lag_asymmetry_AminusB
wired_time_12,"Brian Greene, PhD",Kayla Martini (Child),62,48,14,0.5161580997,0.1214086641,-0.00532865193,1.013389009,0.773114827,1.013389009,0.02956888266,0.2917517328,-0.2621828501,1.05824648,0.3510689668,1.104092548,1.012400411,0.6800383712,0.3857809819,0.3696945085,0.9583015386,0.4791666667,0.7142857143,8,2.914302952,2.789819131,2.807354922,0.08354095815,0.06541457229,1.210115246,0.5934791844,0.03721346283,0.2095043807,1.252657614,10.86046512,3.142857143,7.717607973
wired_time_13,"Brian Greene, PhD",Maria Guseva (Teen),38,31,7,0.5192928707,0.158356327,-0.01017207518,1.148144822,1.002327121,1.148144822,0.09478291304,0.3498114099,-0.2550284969,1.211925181,0.213856837,1.311001055,1.112849308,0.7226288696,0.1313451961,0.1345308533,1.024254083,0.09677419355,0.8571428571,6,2.310097073,2.167727265,1.378783493,0.1994195221,0.1918458613,0.8086717107,0.5954969793,0.05755320424,0.3009141753,1.247340916,13.38461538,1.857142857,11.52747253
wired_time_14,"Brian Greene, PhD",Zain Kamal (College Student),27,21,6,0.5893802763,0.1706224008,-0.01997111172,1.057109429,0.8994563738,1.057109429,0.1065032486,0.344361808,-0.2378585594,1.069239985,0.178746015,1.128636694,1.009843276,0.7583988698,0.3863431038,0.3912552315,1.012714418,0.380952381,0.8333333333,5,2.142690279,2.110596139,1.79248125,0.07124606038,0.07071899436,0.6437747128,0.5134886088,0.05542165529,0.3044846343,1.209189941,4.692307692,1.2,3.492307692
wired_time_15,"Brian Greene, PhD",Alexander Novara (Grad Student),35,25,10,0.4910615007,0.1830672694,-0.01470477444,1.085376725,1.036904255,1.085376725,0.1296504714,0.2593928468,-0.1297423754,1.180621052,0.2113543529,1.206165206,1.155076898,0.5544711782,0.4744554501,0.4342617794,0.9152846264,0.6,0.5,6,2.298499976,2.241706278,1.846439345,0.1176458665,0.1073671592,0.2706521889,0.1870663919,0.06768846563,0.1392119063,1.230494667,2.6,2.5,0.1
wired_Talia_12,Speaker 1 (Talia Gershon),Speaker 2 (Child),11,6,5,0.8203023836,0.2124804259,-0.05957148032,1.068943725,1.051078736,1.068943725,0.2246194101,0.3683188025,-0.1436993924,1.147740147,0.1320355966,1.244401558,1.051078736,0.6705229648,0.3931836762,0.3616562814,0.9198150971,0.1666666667,0.6,3,1.494918848,1.251629167,1.370950594,0.1310413242,0.1519136503,0.2502012118,0.2504180036,0.1519117832,0.3553179313,1.23059799,2,1,1
wired_Talia_13,Speaker 1 (Talia Gershon),Speaker 3 (Teenager/Young Adult),33,17,16,0.7093667714,0.1831757058,-0.01660217376,1.02526825,1.03459942,1.03459942,0.1454136295,0.27288222,-0.1274685906,1.257817221,0.143791157,1.256885024,1.258811563,0.7567824276,0.3813292933,0.3858287733,1.011799461,0.2352941176,1,6,2.399417983,1.736041168,2.430036533,0.2265858026,0.1923611245,0.6548565421,0.3889367473,0.1056405051,0.1033632926,1.278943228,7.4375,8.307692308,-0.8701923077
wired_Talia_14,Speaker 1 (Talia Gershon),Speaker 4 (Amanda - College Student),30,16,14,0.6113672567,0.1874030678,-0.01797472624,1.01552368,1.101706799,1.101706799,0.1332462961,0.2604906644,-0.1272443682,1.223612986,0.1720928929,1.250518169,1.196707803,0.6071585821,0.4721261498,0.4082728316,0.864753693,0.4375,0.5,5,2.121928095,2.055036533,1.985228136,0.068946528,0.06378823539,0.5181097202,0.3524031433,0.07997879381,0.1051566778,1.268808488,3.142857143,1,2.142857143
wired_Talia_15,Speaker 5 (Grad Student),Speaker 1 (Talia Gershon),17,9,8,0.6459891488,0.1804486586,-0.03175399033,1.048751249,0.9406660859,1.048751249,0.2224956406,0.2063459008,0.01614973976,1.10576107,0.1719578218,1.052118631,1.167066714,0.7117356583,0.367758753,0.2947063009,0.8013576794,0.2222222222,0.25,4,1.732221664,1.974937501,1.061278124,0.1297859291,0.1371871309,0.4701339786,0.4138455283,0.2683132581,0.05348976783,1.163115883,1,3.166666667,-2.166666667
wired_Talia_16,Speaker 1 (Talia Gershon),Speaker 6 (Steve - Expert/Physicist),16,9,7,0.6862498447,0.1984417546,-0.04134954871,0.9390077575,1.023712167,1.023712167,0.2534750932,0.3873185008,-0.1338434075,1.154901904,0.1235653146,1.179797271,1.130006537,0.1668286641,0.5653052729,0.1366187315,0.8189164146,0.4444444444,0.1428571429,4,1.501614472,0.7642045065,1.842370993,0.1841776119,0.2133964955,0.1989706903,0.1855307639,0.1355864895,0.2517514669,1.079077815,4,1.333333333,2.666666667
wired_gravity_12,Speaker 1 (Janna Levin),Speaker 2 (Bonét Sofía Kanayet),73,49,24,0.5431907966,0.1793983025,-0.006604009864,1.039342118,0.8917431499,1.039342118,0.1440056935,0.1482126122,-0.004206918785,1.229978293,0.1888287935,1.20585956,1.254097026,0.6500979993,0.3759743535,0.3653200105,0.9716620485,0.4693877551,0.7916666667,9,3.11732348,2.915718626,2.869910023,0.1501808841,0.1074998802,0.9084389668,0.4279380305,0.04349742311,0.0960516704,1.266542785,7.604166667,5.380952381,2.223214286
wired_gravity_13,Speaker 1 (Janna Levin),Speaker 3 (Maria Teresa Furtado),65,47,18,0.4234335782,0.1407594067,-0.004590653286,1.076768873,1.004705527,1.076768873,0.06645271995,0.157273287,-0.09082056701,1.15711906,0.1708624475,1.148639616,1.165598504,0.5709587728,0.1768244403,0.1634921459,0.9246015182,0.2978723404,0.9444444444,8,2.835374779,2.648717349,2.197159723,0.2160568575,0.1691011945,1.059373649,0.5631996946,0.04818629593,0.1485236719,1.242420254,6.5,4.769230769,1.730769231
wired_gravity_14,Speaker 1 (Janna Levin),Speaker 4 (Lisa Chan),68,52,16,0.5186792947,0.1528288424,-0.004286727369,1.079135383,0.9258250463,1.079135383,0.07142956659,0.035804426,0.03562514059,1.160594072,0.2662968851,1.213105715,1.104581654,0.5030517379,0.4454896441,0.3333163867,0.7482023232,0.4615384615,0.375,8,2.813175175,2.707383538,2,0.1886987997,0.1512288917,0.9458764296,0.5170928901,0.03362488624,0.07056752351,1.273655395,9.829268293,4.857142857,4.972125436
wired_gravity_15,Speaker 1 (Janna Levin),Speaker 5 (Will Gyory),52,33,19,0.4304940295,0.203706224,-0.01073832903,0.9705121279,0.8685011279,0.9705121279,0.1341035284,0.2107269239,-0.07662339547,1.166113409,0.1842586517,1.18255901,1.149667808,0.5972313719,0.5178242995,0.5083393653,0.9816831033,0.6363636364,0.8947368421,7,2.675313115,2.669226228,2.247084754,0.1111329026,0.08852251443,0.5567472008,0.3222389642,0.07177309383,0.08557288532,1.182933346,4.5,7.785714286,-3.285714286
wired_gravity_16,Speaker 1 (Janna Levin),Speaker 6 (Matthew Kleban),195,110,85,0.3152571641,0.1380039705,-0.001439273145,0.9770999507,0.9895332835,0.9895332835,0.0774168046,0.08404709946,-0.006630294869,1.174441134,0.1885828413,1.161582952,1.187546589,0.5559979167,0.5522929165,0.4289774355,0.7767208716,0.7454545455,0.8470588235,12,3.293519156,3.120359439,3.192641136,0.09818589948,0.06616746917,1.149375516,0.5008553284,0.01351770186,0.01953395978,1.171311634,8.290322581,4.353846154,3.936476427
wired_nuclear_12,Speaker 1 (Anne White),Speaker 2 (Amelia - Child),54,35,19,0.5529517561,0.1302501193,-0.006560004476,1.060442033,1.116280165,1.116280165,0.1619074964,0.1584897001,0.003417796343,1.26838304,0.1441067201,1.23619334,1.30057274,0.4349442735,0.4159742433,0.2639039171,0.6344236966,0.5142857143,0.3684210526,7,2.364615975,1.613557557,2.525345621,0.2982224845,0.2607281618,0.7758066251,0.5110395645,0.05072288736,0.09167660165,1.267188635,7.782608696,3.666666667,4.115942029
wired_nuclear_13,Speaker 1 (Anne White),Speaker 3 (High School Student),47,37,10,0.6062973317,0.1515095948,-0.01028732562,1.146577239,1.053091109,1.146577239,0.1101686696,0.2461786747,-0.136010005,1.222190474,0.1355832361,1.254332808,1.193262374,0.5476912185,0.2575860674,0.1927785057,0.7484042425,0.2162162162,0.4,7,2.539517806,2.159910459,2.246439345,0.2503626442,0.2198228742,0.9060644751,0.5027999421,0.05878169691,0.2052406548,1.278881766,9.434782609,2.3,7.134782609
