dataset,conversation_id,video_id,file_number,level,level_label,n_utterances,n_pairs,n_words,n_turns,embedding_dimension,k_used,pairwise_cosine_similarity_mean,pairwise_cosine_similarity_sd,pairwise_cosine_similarity_q10,pairwise_cosine_similarity_median,pairwise_cosine_similarity_q90,centroid_resultant_length,centroid_dispersion_cosine,radial_distance_mean_check,radial_distance_median,radial_distance_q90,pairwise_distance_mean,pairwise_distance_sd,pairwise_distance_q10,pairwise_distance_median,pairwise_distance_q90,pairwise_semantic_span,nearest_neighbor_distance_mean,nearest_neighbor_distance_median,knn_distance_median,maximum_available_rank,numerical_rank,total_variance,spectral_entropy,spectral_entropy_normalized,spectral_effective_rank,participation_ratio,pc1_variance_share,expert_n_utterances,partner_n_utterances,speaker_centroid_cosine_distance,speaker_centroid_euclidean_distance
wired,wired_Talia_12,talia,12,0,child,27,351,315,14,384,5,0.17498262630658504,0.14117155018907465,0.022235983504309477,0.14467162155876043,0.3866760963207719,0.4533638994585554,0.5466361005414446,0.5466361005414447,0.5584412740442606,0.6628236426199032,0.8250173736934151,0.14117155018907462,0.6133239036792282,0.8553283784412395,0.9777640164956906,0.3644401128164624,0.4999198696484849,0.5016822965289403,0.7301192170700959,26,26,0.8250173736934152,2.993522830840822,0.918795006810533,19.955859926175172,16.18181202151208,0.1339152574322856,19,1,0.46671104431152344,0.8467584252357483
wired,wired_astro_12,astro,12,0,child,56,1540,647,23,384,5,0.18388082491661287,0.1602024826208862,0.019967898695632383,0.14079524541338873,0.41633898887004794,0.44548219000823197,0.554517809991768,0.554517809991768,0.5362635138642298,0.7421664895730467,0.816119175083387,0.1602024826208862,0.5836610111299524,0.8592047545866113,0.9800321013043677,0.3963710901744153,0.4183748199205514,0.3999418323814066,0.595853398068451,55,55,0.8161191750833869,3.508484646856468,0.8755160813145453,33.397620230369384,22.5434297804966,0.12150127288947632,35,11,0.17095202207565308,0.3045123815536499
wired,wired_blockchain_12,blockchain,12,0,child,20,190,191,9,384,5,0.16733119003405875,0.14847227651768594,0.01816614488393598,0.13177155741970176,0.3617335464207476,0.4571264929232999,0.5428735070767001,0.5428735070767001,0.546826448655412,0.653285137102892,0.8326688099659413,0.14847227651768594,0.6382664535792525,0.8682284425802982,0.981833855116064,0.34356740153681153,0.4587559517922018,0.4338199726712577,0.7889886692501258,19,19,0.8326688099659408,2.6933830436991366,0.914735561767907,14.781598220891617,12.488392764842065,0.14891103460035382,11,4,0.3689928650856018,0.509598970413208
wired,wired_crispr_12,crispr,12,0,child,21,210,152,12,384,5,0.1871476863026684,0.16713440265516002,0.05623155900774148,0.13858700786193734,0.428767102612914,0.47524197977017424,0.5247580202298258,0.5247580202298259,0.5534334777884355,0.6399124727866132,0.8128523136973316,0.16713440265516002,0.5712328973870859,0.8614129921380627,0.9437684409922585,0.3725355436051726,0.40633268826239805,0.40387444966521047,0.7574503591381112,20,18,0.8128523136973317,2.6398546238201672,0.881205122074668,14.011166569797886,11.503852873468878,0.1741516716597188,12,1,0.7981826066970825,1.0275405645370483
wired,wired_dimension_12,dimension,12,0,child,89,3916,689,50,384,5,0.20407561180182524,0.16468844952885955,0.049587336994363136,0.1637280302933527,0.4238510664364441,0.4615393617620682,0.5384606382379318,0.5384606382379317,0.5425206430780827,0.693300693418078,0.7959243881981747,0.16468844952885955,0.5761489335635559,0.8362719697066473,0.9504126630056369,0.374263729442081,0.33917124437699914,0.3105561985778412,0.5463067312642906,88,81,0.7959243881981748,3.683956598587757,0.8228008638249139,39.803569674708186,22.84672270827264,0.14417289923486348,46,15,0.24115478992462158,0.36959323287010193
wired,wired_fractal_12,fractal,12,0,child,46,1035,482,30,384,5,0.19458896126135491,0.20615075407139183,0.02638685548257647,0.1297686359378668,0.46998434024407293,0.46054087428382295,0.539459125716177,0.5394591257161769,0.5187308987014196,0.6794170524814107,0.8054110387386452,0.20615075407139183,0.5300156597559271,0.8702313640621332,0.9736131445174235,0.4435974847614964,0.30766672165522085,0.27113586829131064,0.5535794171634572,45,39,0.8054110387386451,3.021085406430828,0.7936310126126022,20.513545138799557,12.551316265424003,0.20725306381515685,25,5,0.3141074776649475,0.4798209071159363
wired,wired_gravity_12,gravity,12,0,child,72,2556,853,45,384,5,0.16156124705094688,0.15185506065725396,0.019493418192360785,0.1209003267493986,0.3662314378051955,0.41618052541030176,0.5838194745896983,0.5838194745896982,0.5817380489333562,0.7208487602794001,0.8384387529490531,0.15185506065725396,0.6337685621948045,0.8790996732506013,0.9805065818076393,0.3467380196128348,0.37521770032621443,0.39301398229978923,0.6036717950084076,71,65,0.8384387529490533,3.6450462871431673,0.855106738550857,38.28454489275684,23.455777909402087,0.14432686227097075,37,6,0.18051671981811523,0.3593365550041199
wired,wired_hacking_12,hacking,12,0,child,40,780,618,19,384,5,0.20599636924476222,0.16170848090867918,0.03725859092073964,0.16745744607327834,0.4378479572680081,0.47523305862875653,0.5247669413712435,0.5247669413712435,0.4934790766575374,0.7187366547064589,0.7940036307552377,0.1617084809086792,0.5621520427319919,0.8325425539267217,0.9627414090792604,0.4005893663472685,0.4186917342828876,0.4214193932316106,0.6312917980159245,39,39,0.7940036307552378,3.246005265390306,0.8860244698815247,25.687519859883515,18.38271641388703,0.12196810609331123,25,9,0.26588064432144165,0.3972366750240326
wired,wired_infinity_12,infinity,12,0,child,43,903,441,24,384,5,0.20682476563187926,0.16405701423500593,0.044702624803765724,0.16522767238161404,0.4262032903437271,0.47462690749140934,0.5253730925085907,0.5253730925085907,0.5454357771390197,0.6835316031980707,0.7931752343681207,0.16405701423500593,0.5737967096562729,0.8347723276183859,0.9552973751962344,0.3815006655399614,0.367830909631652,0.34777477097421394,0.645426443846358,42,42,0.7931752343681209,3.2398468081029193,0.8668093060592422,25.52981048767181,17.994992439623648,0.13765788513066335,26,10,0.14113444089889526,0.31107547879219055
wired,wired_internet_12,internet,12,0,child,61,1830,608,27,384,5,0.17086650380107796,0.15530331692642385,0.013099483528868479,0.13623874869116073,0.40302479629230425,0.42948673576465846,0.5705132642353415,0.5705132642353414,0.5706075528884311,0.7407705023369414,0.829133496198922,0.15530331692642385,0.5969752037076959,0.8637612513088393,0.9869005164711315,0.38992531276343567,0.40387286019720336,0.4342529740670408,0.6047954543133667,60,57,0.8291334961989221,3.547003228500253,0.866317715716434,34.709146096831475,23.153896275026916,0.13042219950191453,38,6,0.35103511810302734,0.46476805210113525
