dataset,conversation_id,expert_n_utterances,partner_n_utterances,speaker_centroid_cosine_distance,speaker_centroid_euclidean_distance
wired,wired_Talia_12,19,1,0.46671104431152344,0.8467584252357483
wired,wired_Talia_13,37,8,0.4639720320701599,0.46902480721473694
wired,wired_Talia_14,29,9,0.2397228479385376,0.36775100231170654
wired,wired_Talia_15,27,8,0.23353636264801025,0.39511504769325256
wired,wired_Talia_16,16,27,0.10130810737609863,0.28710147738456726
wired,wired_astro_12,35,11,0.17095202207565308,0.3045123815536499
wired,wired_astro_13,44,6,0.2984951138496399,0.439706951379776
wired,wired_astro_14,34,15,0.11033260822296143,0.25913333892822266
wired,wired_astro_15,34,22,0.1078912615776062,0.2583768367767334
wired,wired_astro_16,21,18,0.10243368148803711,0.26208969950675964
wired,wired_blockchain_12,11,4,0.3689928650856018,0.509598970413208
wired,wired_blockchain_13,17,7,0.3298254609107971,0.43414315581321716
wired,wired_blockchain_14,20,3,0.3428347706794739,0.5026516318321228
wired,wired_blockchain_15,16,14,0.23368096351623535,0.38247695565223694
wired,wired_blockchain_16,21,43,0.19194364547729492,0.3190867602825165
wired,wired_crispr_12,12,1,0.7981826066970825,1.0275405645370483
wired,wired_crispr_13,15,4,0.43112021684646606,0.577309250831604
wired,wired_crispr_14,11,11,0.2857813239097595,0.41867974400520325
wired,wired_crispr_15,15,22,0.1760258674621582,0.2879333198070526
wired,wired_crispr_16,38,54,0.11587512493133545,0.2546396851539612
wired,wired_dimension_12,46,15,0.24115478992462158,0.36959323287010193
wired,wired_dimension_13,44,8,0.20290839672088623,0.34828150272369385
wired,wired_dimension_14,55,11,0.207045316696167,0.34693643450737
wired,wired_dimension_15,53,15,0.1305670142173767,0.2774501442909241
wired,wired_dimension_16,42,27,0.11640369892120361,0.22352787852287292
wired,wired_fractal_12,25,5,0.3141074776649475,0.4798209071159363
wired,wired_fractal_13,29,6,0.256989061832428,0.4044106602668762
wired,wired_fractal_14,35,10,0.3280720114707947,0.37907877564430237
wired,wired_fractal_15,32,15,0.20860570669174194,0.31248921155929565
wired,wired_fractal_16,28,38,0.18767696619033813,0.30212491750717163
wired,wired_gravity_12,37,6,0.18051671981811523,0.3593365550041199
wired,wired_gravity_13,86,13,0.2590842843055725,0.3811866343021393
wired,wired_gravity_14,73,10,0.23067402839660645,0.3531564772129059
wired,wired_gravity_15,46,28,0.10623663663864136,0.24159470200538635
wired,wired_gravity_16,52,79,0.07742303609848022,0.18658724427223206
wired,wired_hacking_12,25,9,0.26588064432144165,0.3972366750240326
wired,wired_hacking_13,21,9,0.23647058010101318,0.4059373736381531
wired,wired_hacking_14,41,14,0.20192945003509521,0.3065681457519531
wired,wired_hacking_15,32,30,0.24807780981063843,0.29541724920272827
wired,wired_hacking_16,36,51,0.1627163290977478,0.24045592546463013
wired,wired_infinity_12,26,10,0.14113444089889526,0.31107547879219055
wired,wired_infinity_13,35,9,0.23171037435531616,0.366432785987854
wired,wired_infinity_14,63,14,0.16238802671432495,0.2930062711238861
wired,wired_infinity_15,43,18,0.21715885400772095,0.3220250904560089
wired,wired_infinity_16,22,22,0.15620654821395874,0.31215590238571167
