video_uid,conversation_uid,conversation_id,level_label,_role,_turn_order,_conversation_time,_embedding_row
astro,astro::wired_astro_12,wired_astro_12,child,partner,218,0.0,0
astro,astro::wired_astro_12,wired_astro_12,child,expert,219,0.045454545454545456,1
astro,astro::wired_astro_12,wired_astro_12,child,partner,221,0.09090909090909091,2
astro,astro::wired_astro_12,wired_astro_12,child,expert,222,0.13636363636363635,3
astro,astro::wired_astro_12,wired_astro_12,child,partner,223,0.18181818181818182,4
astro,astro::wired_astro_12,wired_astro_12,child,expert,226,0.22727272727272727,5
astro,astro::wired_astro_12,wired_astro_12,child,partner,230,0.2727272727272727,6
astro,astro::wired_astro_12,wired_astro_12,child,expert,231,0.3181818181818182,7
astro,astro::wired_astro_12,wired_astro_12,child,partner,238,0.36363636363636365,8
astro,astro::wired_astro_12,wired_astro_12,child,expert,239,0.4090909090909091,9
astro,astro::wired_astro_12,wired_astro_12,child,partner,244,0.45454545454545453,10
astro,astro::wired_astro_12,wired_astro_12,child,expert,245,0.5,11
astro,astro::wired_astro_12,wired_astro_12,child,partner,250,0.5454545454545454,12
astro,astro::wired_astro_12,wired_astro_12,child,expert,251,0.5909090909090909,13
astro,astro::wired_astro_12,wired_astro_12,child,partner,256,0.6363636363636364,14
astro,astro::wired_astro_12,wired_astro_12,child,expert,257,0.6818181818181818,15
astro,astro::wired_astro_12,wired_astro_12,child,partner,260,0.7272727272727273,16
astro,astro::wired_astro_12,wired_astro_12,child,expert,261,0.7727272727272727,17
astro,astro::wired_astro_12,wired_astro_12,child,partner,264,0.8181818181818182,18
astro,astro::wired_astro_12,wired_astro_12,child,expert,265,0.8636363636363636,19
astro,astro::wired_astro_12,wired_astro_12,child,partner,268,0.9090909090909091,20
astro,astro::wired_astro_12,wired_astro_12,child,expert,270,0.9545454545454546,21
astro,astro::wired_astro_12,wired_astro_12,child,partner,273,1.0,22
astro,astro::wired_astro_13,wired_astro_13,teenager,expert,274,0.0,23
astro,astro::wired_astro_13,wired_astro_13,teenager,partner,275,0.08333333333333333,24
astro,astro::wired_astro_13,wired_astro_13,teenager,expert,277,0.16666666666666666,25
astro,astro::wired_astro_13,wired_astro_13,teenager,partner,296,0.25,26
astro,astro::wired_astro_13,wired_astro_13,teenager,expert,297,0.3333333333333333,27
astro,astro::wired_astro_13,wired_astro_13,teenager,partner,310,0.4166666666666667,28
astro,astro::wired_astro_13,wired_astro_13,teenager,expert,311,0.5,29
astro,astro::wired_astro_13,wired_astro_13,teenager,partner,313,0.5833333333333334,30
astro,astro::wired_astro_13,wired_astro_13,teenager,expert,314,0.6666666666666666,31
astro,astro::wired_astro_13,wired_astro_13,teenager,partner,319,0.75,32
astro,astro::wired_astro_13,wired_astro_13,teenager,expert,320,0.8333333333333334,33
astro,astro::wired_astro_13,wired_astro_13,teenager,partner,324,0.9166666666666666,34
astro,astro::wired_astro_13,wired_astro_13,teenager,expert,326,1.0,35
astro,astro::wired_astro_14,wired_astro_14,undergraduate,partner,327,0.0,36
astro,astro::wired_astro_14,wired_astro_14,undergraduate,expert,328,0.0625,37
astro,astro::wired_astro_14,wired_astro_14,undergraduate,partner,329,0.125,38
astro,astro::wired_astro_14,wired_astro_14,undergraduate,expert,331,0.1875,39
astro,astro::wired_astro_14,wired_astro_14,undergraduate,partner,332,0.25,40
astro,astro::wired_astro_14,wired_astro_14,undergraduate,expert,335,0.3125,41
astro,astro::wired_astro_14,wired_astro_14,undergraduate,partner,344,0.375,42
astro,astro::wired_astro_14,wired_astro_14,undergraduate,expert,346,0.4375,43
astro,astro::wired_astro_14,wired_astro_14,undergraduate,partner,353,0.5,44
astro,astro::wired_astro_14,wired_astro_14,undergraduate,expert,354,0.5625,45
astro,astro::wired_astro_14,wired_astro_14,undergraduate,partner,360,0.625,46
astro,astro::wired_astro_14,wired_astro_14,undergraduate,expert,363,0.6875,47
astro,astro::wired_astro_14,wired_astro_14,undergraduate,partner,368,0.75,48
astro,astro::wired_astro_14,wired_astro_14,undergraduate,expert,370,0.8125,49
astro,astro::wired_astro_14,wired_astro_14,undergraduate,partner,374,0.875,50
astro,astro::wired_astro_14,wired_astro_14,undergraduate,expert,376,0.9375,51
astro,astro::wired_astro_14,wired_astro_14,undergraduate,partner,378,1.0,52
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,379,0.0,53
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,380,0.03571428571428571,54
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,382,0.07142857142857142,55
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,384,0.10714285714285714,56
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,385,0.14285714285714285,57
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,386,0.17857142857142858,58
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,388,0.21428571428571427,59
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,392,0.25,60
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,397,0.2857142857142857,61
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,398,0.32142857142857145,62
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,404,0.35714285714285715,63
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,407,0.39285714285714285,64
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,412,0.42857142857142855,65
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,416,0.4642857142857143,66
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,417,0.5,67
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,418,0.5357142857142857,68
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,419,0.5714285714285714,69
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,420,0.6071428571428571,70
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,421,0.6428571428571429,71
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,424,0.6785714285714286,72
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,426,0.7142857142857143,73
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,427,0.75,74
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,429,0.7857142857142857,75
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,431,0.8214285714285714,76
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,434,0.8571428571428571,77
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,436,0.8928571428571429,78
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,440,0.9285714285714286,79
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,441,0.9642857142857143,80
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,443,1.0,81
astro,astro::wired_astro_16,wired_astro_16,expert,expert,446,0.0,82
astro,astro::wired_astro_16,wired_astro_16,expert,partner,448,0.07692307692307693,83
astro,astro::wired_astro_16,wired_astro_16,expert,expert,451,0.15384615384615385,84
astro,astro::wired_astro_16,wired_astro_16,expert,partner,452,0.23076923076923078,85
