Sequence,Speaker,Utterance,Notes
1,"Speaker 1 (Janna Levin)","Hi, Dan, I'm so glad you could make it.",""
2,"Speaker 1 (Janna Levin)","What have you been working on with black holes in the time since I've last seen you?",""
3,"Speaker 6 (expert)","There are a lot of aspects to black holes.",""
4,"Speaker 6 (expert)","The one that's kind of interested me most lately is trying to understand them from the point of view of information, how information is stored and processed and recovered from black holes.",""
5,"Speaker 6 (expert)","Which turns out to be a really interesting perspective.",""
6,"Speaker 1 (Janna Levin)","Talk us through Hawking's initial revolution that led to a lot of these conversations about the information around black holes.",""
7,"Speaker 6 (expert)","Hawking's big insight was that he had to apply both the rules of quantum mechanics and the rules of gravity to really understand how black holes behaved.",""
8,"Speaker 6 (expert)","But Hawking took a point of view where he brought quantum mechanics into the game.",""
9,"Speaker 6 (expert)","He realized that if you took that into account, that it's actually not quite true that black holes are black, that actually things can escape from black holes.",""
10,"Speaker 1 (Janna Levin)","So what you're describing is the famous Hawking radiation where a black hole cleverly kind of steals energy from the quantum vacuum and radiates and in the process of evaporates.",""
11,"Speaker 1 (Janna Levin)","And of course this caused a big kerfuffle because when the black hole evaporates, eventually that event horizons is yanked up.",""
12,"Speaker 1 (Janna Levin)","And the question is, where did everything go that had once fallen in?",""
13,"Speaker 6 (expert)","A way to think about Hawking radiation is to imagine that pairs of particles and antiparticles appear out of the quantum vacuum and the particle can escape the black hole, but the antiparticle falls in.",""
14,"Speaker 6 (expert)","But the particle and antiparticle are a pair and if the antiparticle really falls into the black hole and is destroyed at the singularity, that poor particle outside the black hole has lost his partner.",""
15,"Speaker 6 (expert)","It also violates the rules of quantum mechanics.",""
16,"Speaker 6 (expert)","If you have two particles that are entangled, that has to be preserved.",""
17,"Speaker 1 (Janna Levin)","Now, to be clear, nobody disputes that black holes will quantum radiate, that Hawking radiation is a solid prediction.",""
18,"Speaker 1 (Janna Levin)","The black holes should in fact evaporate, that's not disputed, right?",""
19,"Speaker 6 (expert)","That's right.",""
20,"Speaker 6 (expert)","It would be wonderful if we could have some experimental of evidence for this, if we could really build a black hole in the lab and test to see whether it behaves this way.",""
21,"Speaker 6 (expert)","But I think there is hope that we'll be able to detect some of these effects either indirectly, by looking at black holes out in the universe, or also maybe indirectly in the laboratory by looking at systems which aren't black holes, but which radiate in kind of similar ways.",""
22,"Speaker 1 (Janna Levin)","There's this domain of black holes in astrophysics where we see stars collapse, and we know that they exist and there's whole observational astronomy around them.",""
23,"Speaker 1 (Janna Levin)","And then there's this domain that we're talking about, where, as you said, black holes are so special because they're kind of guiding us in the right direction to understand the very nature of reality.",""
24,"Speaker 1 (Janna Levin)","And that makes them really unusually special.",""
25,"Speaker 1 (Janna Levin)","And one of the things I wanted to draw out is that we talk about the fundamental forces of nature.",""
26,"Speaker 1 (Janna Levin)","So there's the matter forces, and then the outlier is gravity.",""
27,"Speaker 1 (Janna Levin)","We've quantized all the matter forces in a way that we're rather comfortable with.",""
28,"Speaker 1 (Janna Levin)","Gravity keeps resisting quantization of gravity itself.",""
29,"Speaker 1 (Janna Levin)","And now we're thinking in a way that you're describing that, well, maybe it's only the quantum forces altogether.",""
30,"Speaker 6 (expert)","The pursuit of quantum gravity has taken us to places we never expected to be.",""
31,"Speaker 6 (expert)","I think what's exciting about physics, about theoretical physics, that you start following a thread, you start developing a chain of logic, and you never know where it's gonna end up.",""
32,"Speaker 1 (Janna Levin)","Do you think there's ever a hope that the kind of information that you think about, the quantum gravity aspects of the universe that you think about, whether it will pan out or not, will ever be viably observed in these astronomical pursuits of the event horizon?",""
33,"Speaker 6 (expert)","It's a real challenge, but astronomical observations have gotten so fantastically precise.",""
34,"Speaker 6 (expert)","And there is some hope that if you looked at things like two black holes merging, each black hole comes in with its own event horizon, but then when the black holes merge, there's a very complicated process where these two event horizons merge and oscillate and vibrate, and then settle down into a single event horizon for the final black hole.",""
35,"Speaker 6 (expert)","There is some hope that if we can make sufficiently detailed observations of this process, if we could really see the way the event horizon is behaving as it settles down to this final state, that maybe that could reveal some of these quantum effects that we've been talking about.",""
36,"Speaker 1 (Janna Levin)","It is amazing in the numerical simulations of two black holes merging, you really see the event horizons bobble around.",""
37,"Speaker 1 (Janna Levin)","And we were talking earlier about how really black holes are flawless, they don't tolerate those kinds of imperfections.",""
38,"Speaker 1 (Janna Levin)","And so you can so quickly watch the system wring away that misshapen merger.",""
39,"Speaker 1 (Janna Levin)","And it comes out in the gravitational waves, which is literally the ripples in the shape of spacetime until it settles down, and then it's utterly flawless again.",""
40,"Speaker 1 (Janna Levin)","It really happens fast.",""
41,"Speaker 1 (Janna Levin)","It's quite amazing.",""
42,"Speaker 6 (expert)","Yeah, it's a spectacular process.",""
