Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Neville Sanjana),"Do you know what crisper is?",
2,Speaker 3 (Bella - Teenager),"Absolutely not.",
3,Speaker 3 (Bella - Teenager),"No, not at all.",
4,Speaker 1 (Neville Sanjana),"Crisper is a way to edit the genome.",
5,Speaker 1 (Neville Sanjana),"Do you know what a genome is?",
6,Speaker 3 (Bella - Teenager),"Yeah, it's the DNA.",
7,Speaker 1 (Neville Sanjana),"DNA is kind of um the language that the genome is written in.",
8,Speaker 1 (Neville Sanjana),"And the genome itself is an instruction manual that describes how to make you.",
9,Speaker 1 (Neville Sanjana),"How tall you should be, what color hair you have, or what color eyes you have.",
10,Speaker 1 (Neville Sanjana),"So what crisper is and an easy way to think about it, it's like a molecular pair of scissors.",
11,Speaker 1 (Neville Sanjana),"That can go through that long, long genome and find specific places, make small cuts and edit it.",
12,Speaker 1 (Neville Sanjana),"What do you think about being able to edit genomes?",
13,Speaker 3 (Bella - Teenager),"It's actually kind of cool cuz then you could change, can't you technically change things about a person if you edit the DNA?",
14,Speaker 1 (Neville Sanjana),"Sure.",
15,Speaker 1 (Neville Sanjana),"So how do we determine what's what's the right uses then?",
16,Speaker 3 (Bella - Teenager),"I don't think it should be used for almost cosmetology reasons or like for people just to be like, 'Oh, I want to be 5 foot six instead of 5 foot 4,' or like reasons that aren't necessarily the most important.",
17,Speaker 3 (Bella - Teenager),"I just think if it could genuinely help someone, like if someone had cancer and there was a way to fix it or like slow down the growth.",
18,Speaker 1 (Neville Sanjana),"So, a lot of the work that we do in my lab is about being engineers of DNA.",
19,Speaker 1 (Neville Sanjana),"We try and look to see what mutations cause diseases, and to see if when we change those mutations, if we can take a sick cell or organism and make it healthy again.",
20,Speaker 3 (Bella - Teenager),"Couldn't you technically cuz the p-53 when it's defected does, that's what causes cancer.",
21,Speaker 1 (Neville Sanjana),"P-53 is the most common mutation in cancer.",
22,Speaker 1 (Neville Sanjana),"That's that's right.",
23,Speaker 1 (Neville Sanjana),"Yeah, that's a great idea actually to use crisper to target tumor cells and restore p-53 to fix that that mutation.",
24,Speaker 1 (Neville Sanjana),"So to make that cut with these scissors and fix it.",
