Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Sean Carroll PhD),"So observational cosmology, so like what do you look at?",
2,Speaker 5 (grad student),"So, I work on two ground-based surveys in the optical, and we're basically trying to make huge maps of the universe so that we can study dark energy.",
3,Speaker 1 (Sean Carroll PhD),"I'm sure you've heard about extra dimensions a little bit.",
4,Speaker 5 (grad student),"I've heard it, yeah.",
5,Speaker 1 (Sean Carroll PhD),"Well I'm thinking about the idea that there might be more than three dimensions of space.",
6,Speaker 1 (Sean Carroll PhD),"What is your impression of theoretical physicists who think about things like extra dimensions of space that they haven't ever seen?",
7,Speaker 5 (grad student),"I get a little scared, because I think how can you prove these theories?",
8,Speaker 1 (Sean Carroll PhD),"Right.",
9,Speaker 5 (grad student),"One theory I've heard of, I don't know if this fits in with that, is bubble universes.",
10,Speaker 1 (Sean Carroll PhD),"Mm-hmm.",
11,Speaker 5 (grad student),"Is that an extra dimension?",
12,Speaker 5 (grad student),"Does that fit into that, or is that something?",
13,Speaker 1 (Sean Carroll PhD),"It does.",
14,Speaker 1 (Sean Carroll PhD),"In fact, one way that different universes might be created and be different from each other is that different universes could have effectively different numbers of dimensions.",
15,Speaker 1 (Sean Carroll PhD),"Like we have three dimensions around us, but there's people out there, aliens, who could live in five dimensional universes.",
16,Speaker 5 (grad student),"And are each of those dimensions, are they governed by the same laws of physics, or is there like a separate Lagrangian for each universe",
17,Speaker 1 (Sean Carroll PhD),"It's a, yeah.",
18,Speaker 5 (grad student),"Or how does that work?",
19,Speaker 1 (Sean Carroll PhD),"We think that it would be, no all of this is incredibly speculative, and we don't know for sure.",
20,Speaker 1 (Sean Carroll PhD),"But the idea is that there is some deep down underlying laws that are universal and the same, but they show up differently, so they appear different.",
21,Speaker 1 (Sean Carroll PhD),"So the specific particles and forces and masses would be completely different in different parts of the multiverse.",
22,Speaker 5 (grad student),"Okay.",
23,Speaker 1 (Sean Carroll PhD),"Why in the world would you think that there are extra dimensions, right?",
24,Speaker 1 (Sean Carroll PhD),"So you've heard of string theory?",
25,Speaker 5 (grad student),"I have.",
26,Speaker 5 (grad student),"So string theory is basically a theory of quantum gravity.",
27,Speaker 1 (Sean Carroll PhD),"Mm-hmm.",
28,Speaker 1 (Sean Carroll PhD),"So we have quantum mechanics, right?",
29,Speaker 1 (Sean Carroll PhD),"The theory of atoms and so forth and how those work, and then we have gravity, and gravity doesn't seem to fit in.",
30,Speaker 1 (Sean Carroll PhD),"It's the one force of nature that we can't really easily fit into this quantum mechanical framework, so string theory is one of the best ideas.",
31,Speaker 5 (grad student),"Right.",
32,Speaker 1 (Sean Carroll PhD),"That's the good news.",
33,Speaker 1 (Sean Carroll PhD),"The bad news is that it only seems to work if spacetime is ten dimensional.",
34,Speaker 1 (Sean Carroll PhD),"So you would say well then it's wrong.",
35,Speaker 1 (Sean Carroll PhD),"It can't be right.",
36,Speaker 1 (Sean Carroll PhD),"Spacetime is not ten-dimensional.",
37,Speaker 1 (Sean Carroll PhD),"Spacetime is four dimensional.",
38,Speaker 1 (Sean Carroll PhD),"We've observed that.",
39,Speaker 1 (Sean Carroll PhD),"But instead, we say if spacetime looks four dimensional to us, but string theory, which might be the best theory we have of quantum gravity says it must be ten dimensional, maybe we can hide those extra six dimensions somehow.",
40,Speaker 1 (Sean Carroll PhD),"So here's how we could get lucky.",
41,Speaker 1 (Sean Carroll PhD),"We could imagine that there are extra dimensions of space that are curled up somehow that are so small that we can't see them.",
42,Speaker 1 (Sean Carroll PhD),"This is actually an old idea.",
43,Speaker 1 (Sean Carroll PhD),"It goes back to Kaluza and Klein right after general relativity was invented in 1915.",
44,Speaker 1 (Sean Carroll PhD),"But there's a more recent idea that says there could actually be relatively large extra dimensions.",
45,Speaker 1 (Sean Carroll PhD),"There could be extra dimensions that are actually that big, like a millimeter across that you would not have noticed.",
46,Speaker 1 (Sean Carroll PhD),"But here's the new, exciting idea.",
47,Speaker 1 (Sean Carroll PhD),"So let's imagine, okay.",
48,Speaker 1 (Sean Carroll PhD),"This is a piece of paper.",
49,Speaker 1 (Sean Carroll PhD),"But let's imagine this is our entire world.",
50,Speaker 1 (Sean Carroll PhD),"So, in other words, our real world is three dimensional, but let's imagine that we're just idealizing it down to two dimensions, so we all live here.",
51,Speaker 1 (Sean Carroll PhD),"You and I live here.",
52,Speaker 1 (Sean Carroll PhD),"But let's imagine that we're embedded in this bigger space.",
53,Speaker 1 (Sean Carroll PhD),"So there are extra dimensions that are actually big, okay?",
54,Speaker 1 (Sean Carroll PhD),"And let's imagine that.",
55,Speaker 1 (Sean Carroll PhD),"When I say we live on this three dimensional world what I mean is imagine that the particles that you and I are made of, right, the quarks, the leptons, the electrons and everything, all the forces we know about, electromagnetism, the weak nuclear force, the strong nuclear force, imagine they can't leave this surface.",
56,Speaker 1 (Sean Carroll PhD),"This is what we call a brane.",
57,Speaker 1 (Sean Carroll PhD),"B-R-A-N-E.",
58,Speaker 1 (Sean Carroll PhD),"Have you heard this word before?",
59,Speaker 5 (grad student),"I've heard it, yeah.",
60,Speaker 1 (Sean Carroll PhD),"Do you know where it comes from?",
61,Speaker 5 (grad student),"No.",
62,Speaker 1 (Sean Carroll PhD),"From membranes, you know.",
63,Speaker 1 (Sean Carroll PhD),"We have lines, one dimension.",
64,Speaker 1 (Sean Carroll PhD),"We have two dimensional surfaces.",
65,Speaker 1 (Sean Carroll PhD),"So if you have a line that is a vibrating physical thing, you call it a string, right?",
66,Speaker 5 (grad student),"Right.",
67,Speaker 1 (Sean Carroll PhD),"If you have a two dimensional surface that vibrates and is a physical thing, we call that a membrane.",
