Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Keenan Crane Phd),"Hey, thanks for joining us remotely.",
2,Speaker 5 (Grad Student),"Yeah, of course it's a pleasure I'm happy to be here.",
3,Speaker 1 (Keenan Crane Phd),"Do you have any sense of how you would give a really precise mathematical definition to, you know, what is a fractal?",
4,Speaker 5 (Grad Student),"It would probably have to be some kind of recursive definition, like imaginary numbers.",
5,Speaker 5 (Grad Student),"I know the Mandelbrot set we'll use those.",
6,Speaker 1 (Keenan Crane Phd),"The Mandelbrot set or the Julia set, you know, the idea is always, oh, I'm gonna apply some polynomial over and over again.",
7,Speaker 1 (Keenan Crane Phd),"Z squared plus C or something like that.",
8,Speaker 1 (Keenan Crane Phd),"When I think about fractals, I try to get away from these very specific examples and ask, what is it fundamentally that makes a fractal, a fractal.",
9,Speaker 1 (Keenan Crane Phd),"And one thing that I think you can be precise about, even if you can't really say exactly what a fractal is, is you can talk about this idea of fractal dimension.",
10,Speaker 1 (Keenan Crane Phd),"Have you ever heard of that?",
11,Speaker 5 (Grad Student),"No, I have not actually.",
12,Speaker 1 (Keenan Crane Phd),"So if you look at this, this piece of paper, what would you say the dimension is?",
13,Speaker 5 (Grad Student),"Well on the, on the paper itself, I would say it's two dimensional, but the actual paper would be three dimensions because it has a very small thickness.",
14,Speaker 1 (Keenan Crane Phd),"Yeah, great.",
15,Speaker 1 (Keenan Crane Phd),"So, so the real physical paper has some amount of thickness, but when we model this mathematically, we might ignore the thickness and say, yeah, this is really just kind of a two dimensional sheet of paper.",
16,Speaker 1 (Keenan Crane Phd),"And then you have your apple, how many dimensions is the apple?",
17,Speaker 5 (Grad Student),"I would also say three.",
18,Speaker 1 (Keenan Crane Phd),"And why three?",
19,Speaker 5 (Grad Student),"Because it has the height and the width.",
20,Speaker 5 (Grad Student),"And there's a depth to it as well.",
21,Speaker 1 (Keenan Crane Phd),"Totally, now, as a little experiment, take your piece of paper and just crumple it into a ball.",
22,Speaker 1 (Keenan Crane Phd),"So what is it?",
23,Speaker 1 (Keenan Crane Phd),"Is the paper three dimensional or is it two dimensional?",
24,Speaker 5 (Grad Student),"It changed and dimensions depending on how it is shaped.",
25,Speaker 1 (Keenan Crane Phd),"So it's not quite as solid as the apple, but it's also not quite as two dimensional as the original sheet of paper.",
26,Speaker 1 (Keenan Crane Phd),"And so for this reason, people associate this crumpled ball with a fractal dimension, maybe something like 2.5 dimensions instead of two or three.",
27,Speaker 1 (Keenan Crane Phd),"There are a lot of different definitions, precise definitions of fractal dimension.",
28,Speaker 1 (Keenan Crane Phd),"But I think the one that's easiest to understand is this thing called box counting dimension.",
29,Speaker 1 (Keenan Crane Phd),"You have, let's say an image and you want to decide what's the fractal dimension of this image.",
30,Speaker 1 (Keenan Crane Phd),"So what you're gonna do is you're gonna count the number of boxes, or you can imagine big pixels of this image that cover the boundary of this shape.",
31,Speaker 1 (Keenan Crane Phd),"And you're gonna see how does that counting compare with how the counts work for just an ordinary shape?",
32,Speaker 1 (Keenan Crane Phd),"So, so if I have a straight line and I start out with one big box that covers the whole line, and now I shrink my boxes by a factor of two, I just make boxes half as big.",
33,Speaker 1 (Keenan Crane Phd),"How many boxes will I need to cover that line",
34,Speaker 5 (Grad Student),"two?",
35,Speaker 1 (Keenan Crane Phd),"And if I cut that box in half again, how many boxes do I need to cover the line.",
36,Speaker 5 (Grad Student),"Four.",
37,Speaker 1 (Keenan Crane Phd),"But if you take a more interesting shape, some kind of fractal shape, like let's say the coastline of great Britain and you start doing this box, counting experiment, something really interesting happens.",
38,Speaker 1 (Keenan Crane Phd),"As you make these boxes smaller, the number of boxes you need to cover the coastline grows faster than it would for just a straight line.",
39,Speaker 5 (Grad Student),"Yeah, I've, I've heard about that.",
40,Speaker 5 (Grad Student),"Where if you, if you change the amount of measurement for a coastline, you can actually change like how much of the coast that, that there is like if you measure in mile lengths, you're gonna get a much different estimate than if you measure in one inch increments.",
41,Speaker 1 (Keenan Crane Phd),"And so what this box counting is getting at is saying, well, I still can never decide what the length of the coastline is, but what I can do is I can see how quick does the number of boxes grow relative to how it would grow just for an ordinary one dimensional curve, like a line or a circle.",
42,Speaker 5 (Grad Student),"Is there any other interesting applications of fractals?",
43,Speaker 1 (Keenan Crane Phd),"So procedural computer graphics, which kind of came out of thinking about fractals is one answer to this question about how do you add more detail without for instance, consuming tons of memory or requiring artists to paint ultra detail the textures.",
