Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Samy Kamkar),"Have you started studying cybersecurity?",
2,Speaker 4 (college student),"I started this year, I took my first course, so haven't gone too deep into it, but we got a basic idea of, like, basics of information and network security.",
3,Speaker 4 (college student),"We learned about how networks are set up, like the different types of topologies, like Star and Mesh, and also how networks are designed with different levels of security.",
4,Speaker 1 (Samy Kamkar),"Have you heard of the breach of Target where they were breached many years ago and their point of sale systems were hacked?",
5,Speaker 4 (college student),"Yes, I heard about that.",
6,Speaker 1 (Samy Kamkar),"So where people are swiping credit cards, those credit card numbers were stolen.",
7,Speaker 1 (Samy Kamkar),"They hired a company to come in and perform a penetration test to see, can the good guys essentially break in again to prevent this sort of thing in the future?",
8,Speaker 1 (Samy Kamkar),"And when this team came in, they found they actually were able to get pretty much to the same point of sale system, and the way they did that was by exploiting an internet-connected deli meat scale.",
9,Speaker 1 (Samy Kamkar),"Once the company was able to essentially get into the deli scale, because the deli scale was on the internal network, then they were able to really escalate privilege and find a vulnerability within another system.",
10,Speaker 1 (Samy Kamkar),"Essentially, that just got them into the network.",
11,Speaker 1 (Samy Kamkar),"and once you're in the network, it's often really easy to then escalate from there.",
12,Speaker 4 (college student),"I've heard about similar attacks in hospitals using hospital equipment, but I'm surprised that something as simple as a meat scale would have been used in such an attack.",
13,Speaker 4 (college student),"We discussed it in class as how hackers look at some of the weakest links in these large networks and use those to tap into networks.",
14,Speaker 1 (Samy Kamkar),"Yeah, that's another interesting concept.",
15,Speaker 1 (Samy Kamkar),"It's really just different layers that we have for protection, because often when you're talking about something like a corporate network, or even your home network, you typically have sort of one level of defense, right?",
16,Speaker 1 (Samy Kamkar),"If someone can break that or it can get in through some other system that is connected or exposes some other protocol, like Bluetooth, right?",
17,Speaker 1 (Samy Kamkar),"You can connect to a Bluetooth device without being on the wireless network, without being on the LAN.",
18,Speaker 1 (Samy Kamkar),"That potentially gives you another place that you can pivot on and then access other devices, because if something has both Bluetooth and also Wi-Fi, well, if you can get in through Bluetooth, then you can then access the Wi-Fi and get to other devices on the network.",
19,Speaker 1 (Samy Kamkar),"Are you familiar with buffer overflows?",
20,Speaker 4 (college student),"No, I am not familiar with that.",
21,Speaker 1 (Samy Kamkar),"If we were to write a program that asked for your name and you typed in your name, but before you could type in your name, in a low leveling, which is like C or C++, you'd have to allocate some memory.",
22,Speaker 1 (Samy Kamkar),"So you might allocate a buffer of a hundred bytes because whose name is going to be longer than a hundred bytes or a hundred character?",
23,Speaker 1 (Samy Kamkar),"But what happens if you were to not really check that they limited to a hundred bytes?",
24,Speaker 1 (Samy Kamkar),"Do you know what happens if they essentially start typing over that hundred bytes?",
25,Speaker 4 (college student),"In that case, it would be an error for accessing invalid memory.",
26,Speaker 1 (Samy Kamkar),"Absolutely, you would essentially cause a segmentation fault.",
27,Speaker 4 (college student),"Yeah.",
28,Speaker 1 (Samy Kamkar),"But what's really cool about that is, when you're going into memory, you're starting to cross over that boundary of that hundred byte allocation, and now you're starting to write over additional memory.",
29,Speaker 1 (Samy Kamkar),"That other memory is really important stuff.",
30,Speaker 1 (Samy Kamkar),"So you have your name, the hundred bytes there, and then right next to your name is the return address, and that's the address that the code is gonna execute and it's going to return to after that function is done, and it's going to jump to that address, but after you type your hundred bytes, the next few bytes that you type, you're actually going to overwrite that return address.",
31,Speaker 1 (Samy Kamkar),"So that return address could essentially be another address in memory.",
32,Speaker 1 (Samy Kamkar),"So what you end up doing is you type a name and it's not really a name, it's really just code.",
33,Speaker 1 (Samy Kamkar),"And that code, you keep typing until you get to the return address, and you start typing an address, which is really the beginning of your name and your computer or your processor is actually going to read that address and it will jump back to the beginning and then execute that payload.",
34,Speaker 1 (Samy Kamkar),"So that was sort of the very first thing that I think was super exciting to me when I started learning about really reverse engineering.",
35,Speaker 4 (college student),"So how does the buffer overloading relate to what you are doing in terms of network security or designing software for penetration testing?",
36,Speaker 1 (Samy Kamkar),"Ever since buffer overflow started many years ago, there been a lot of protection mechanisms built to make it difficult to exploit.",
37,Speaker 1 (Samy Kamkar),"More and more, we're actually using smaller and smaller computers with smaller amounts of compute power.",
38,Speaker 1 (Samy Kamkar),"If you take a car, you have hundreds of microcontrollers that are all running there.",
39,Speaker 1 (Samy Kamkar),"So they don't really have a sophisticated operating system that can try to prevent attacks like buffer overflows.",
40,Speaker 1 (Samy Kamkar),"So how do we keep these low cost computers in here while adding layers of protection to prevent malice and these types of attacks?",
41,Speaker 1 (Samy Kamkar),"Sometimes it actually is, how can we write software or how can we build a system that prevents these types of attacks from entering?",
42,Speaker 1 (Samy Kamkar),"But oftentimes, it's really looking for how can we find new attacks that we haven't even necessarily thought of?",
43,Speaker 1 (Samy Kamkar),"What got you interested in computer science and information security?",
44,Speaker 4 (college student),"I got interested in cybersecurity because I'm really into global affairs, global politics, and you often hear in the news about the rising power of China, the rising power of Iran.",
45,Speaker 4 (college student),"I enjoy how interdisciplinary computer science is.",
46,Speaker 4 (college student),"Like, nowadays there's so much going on in the world of computers and that's what fascinated me.",
47,Speaker 1 (Samy Kamkar),"You brought up China and Iran, and something that's interesting about those areas is really censorship, right?",
48,Speaker 1 (Samy Kamkar),"They have essentially censored internet.",
49,Speaker 1 (Samy Kamkar),"In the US, we have a really interesting internal struggle here where we actually have government agencies like the state department that are funding software to evade censorship, like Tor and other mechanisms.",
50,Speaker 1 (Samy Kamkar),"While then we also have an internal struggle where we have other organizations like the NSA who are specifically looking to break that exact same system that the US government is also funding.",
51,Speaker 4 (college student),"There are a lot of ethical questions about whether we should be intervening in other countries, but it's pretty interesting that two different agencies of the government are actually working on contrasting technology.",
52,Speaker 4 (college student),"I can actually understand that because if we are creating a technology that we are going to deploy somewhere else, we should know its limitations.",
53,Speaker 4 (college student),"We should know how to control it.",
54,Speaker 1 (Samy Kamkar),"It's good for us to understand how these systems can really break down.",
55,Speaker 1 (Samy Kamkar),"Although, I think one thing that I see is that some of, let's say, the organizations that are looking to break this are not necessarily going to share once they actually learn that information.",
56,Speaker 1 (Samy Kamkar),"They might actually sort of hold that in their back pocket and use it when it's advantageous to them."
