Sequence,Speaker,Utterance,Notes
236,"Speaker 1 (Jim Kurose)","So hey, Jen, it's great to see you again.",""
237,"Speaker 6 (Expert)","Good to see you, Jim.",""
238,"Speaker 1 (Jim Kurose)","We're in level five now.",""
239,"Speaker 1 (Jim Kurose)","So you're the expert-expert.",""
240,"Speaker 1 (Jim Kurose)","I'm a huge fan of the work that you did in RCP, the Routing Control Platform being a precursor to software-defined networking and the notion that rather than having protocols actually always compute things, that we could compute things in data centers.",""
241,"Speaker 1 (Jim Kurose)","I'd be interested if you could sort of just reflect back on that time and sort of the beginnings of SDN and where it's come since then.",""
242,"Speaker 6 (Expert)","Yeah, and when we were at AT&T, the thing we found most frustrating is AT&T would buy routers, and they would come pre-baked with a set of protocols instead of knobs that you could turn if you wanted to influence how the traffic flowed, and a set of dials you could read to understand what was going on inside the network.",""
243,"Speaker 1 (Jim Kurose)","Right, you couldn't directly do what you wanted to.",""
244,"Speaker 6 (Expert)","Exactly.",""
245,"Speaker 6 (Expert)","And so we started thinking about earlier work that was done in the telephony network, the old telephone network.",""
246,"Speaker 6 (Expert)","And there, they had the same problem.",""
247,"Speaker 6 (Expert)","And they had the idea of having a computer running a program tell a distributed set of telephony switches what to do.",""
248,"Speaker 6 (Expert)","But the idea was like, wow, it was kind of a revelation, like what would that look like if we did that?",""
249,"Speaker 6 (Expert)","Not for the whole internet, but at least AT&T's part of the internet.",""
250,"Speaker 6 (Expert)","So in other words, use software instead of distributed protocols to tell the network what to do.",""
251,"Speaker 1 (Jim Kurose)","Yeah, do you see the softwarization of the internet as a whole happening?",""
252,"Speaker 6 (Expert)","So, so far, it hasn't very much.",""
253,"Speaker 6 (Expert)","I mean, basically, software-defined networking exists, let's say within a single provider backbone, or a single cloud provider's network or a single campus.",""
254,"Speaker 6 (Expert)","There's been some work on doing it at the juncture points between a pair of networks.",""
255,"Speaker 6 (Expert)","But one other trend that's happening that makes it more possible is it used to be that to get from one end to the internet to the other, you have access networks getting much closer to, say Google or Microsoft or other large cloud providers, where even, you might only go through two networks.",""
256,"Speaker 1 (Jim Kurose)","Right, so some people have called that the flattening of the internet, right?",""
257,"Speaker 1 (Jim Kurose)","I think it used to be on average, you would go through 10 different networks to get from a source to a destination.",""
258,"Speaker 6 (Expert)","Right, exactly.",""
259,"Speaker 6 (Expert)","And if you take that even further, they're starting to be more edge computing where you might imagine you might have a cell tower connected to a small number of routers, connected directly to a server that's gonna be running the application.",""
260,"Speaker 6 (Expert)","In that case, the entire infrastructure might be controlled by a single party.",""
261,"Speaker 1 (Jim Kurose)","It's totally fascinating to me that we have such an important global infrastructure, and yet, the laws that that govern it tend to be very, very local.",""
262,"Speaker 6 (Expert)","There are tens of thousands of separately administered networks, and of course, in hundreds of countries.",""
263,"Speaker 6 (Expert)","And the fact that it even holds together at all is kind of a miracle.",""
264,"Speaker 1 (Jim Kurose)","Right, well it holds together because we have standards, and we have protocols that you mentioned.",""
265,"Speaker 6 (Expert)","Exactly, protocol standards for how the equipment talks to one another.",""
266,"Speaker 6 (Expert)","And increasingly, certificate authorities that help bootstrap the secure, encrypted and communication between end hosts.",""
267,"Speaker 6 (Expert)","So there are a few of these sort of centrally, kind of agreed upon kinds of infrastructure, but for the most part, each network runs itself.",""
268,"Speaker 1 (Jim Kurose)","And certainly, we've heard about some countries that impose firewalls that don't let certain kinds of traffic out, or certain kinds of traffic in.",""
269,"Speaker 1 (Jim Kurose)","So there's no global body that is regulating that?",""
270,"Speaker 6 (Expert)","Not really because each country really can have it's own laws and its own norms.",""
271,"Speaker 6 (Expert)","And so they can decide, like the Great Firewall of China can decide, they don't wanna let certain content be accessed by the citizens inside that country.",""
272,"Speaker 6 (Expert)","So if a country decides they don't wanna answer a request for a particular domain name, they say, Hey, I don't want to let someone know the IP address of this website.",""
273,"Speaker 6 (Expert)","They can decide not to let those answers be delivered inside their country.",""
274,"Speaker 6 (Expert)","And so encryption plays a role in helping people keep their privacy or prevent surveillance, but it's not perfect.",""
275,"Speaker 6 (Expert)","It's often possible, still, to know a fair amount about what people are doing, even if you can't look inside the envelope at the letter that's written.",""
276,"Speaker 1 (Jim Kurose)","I mean, even you could just tell that two people are communicating even though the traffic itself is encrypted.",""
277,"Speaker 1 (Jim Kurose)","So you don't know what they're saying, just even knowing two devices are communicating.",""
278,"Speaker 6 (Expert)","Exactly, and in fact, if you look at say, the sizes of the transfers that they're doing, you may know, hey, I'm talking to Netflix.",""
279,"Speaker 6 (Expert)","And by the way, this is the length of the movie I watched.",""
280,"Speaker 6 (Expert)","This is the size-",""
281,"Speaker 1 (Jim Kurose)","So you can infer or guess a lot of things.",""
282,"Speaker 6 (Expert)","Exactly.",""
283,"Speaker 1 (Jim Kurose)","You're one of the most awesome networking researchers that I know.",""
284,"Speaker 1 (Jim Kurose)","I'm curious, just to pick your brain, what do you think are some of the hot topics in networking research?",""
285,"Speaker 1 (Jim Kurose)","Where do you think the field is heading?",""
286,"Speaker 6 (Expert)","Yeah, I'm excited about the convergence of wireless communications, cellular networks, Wi-Fi with networking and cloud computing.",""
287,"Speaker 6 (Expert)","And in particular, we're seeing in edge computing, a convergence of all three.",""
288,"Speaker 6 (Expert)","Where you might have a mobile phone or a drone or some other kind of device connecting over the wireless medium directly to a network that connects you directly to the server that might run your application.",""
289,"Speaker 1 (Jim Kurose)","So you want the computation close to where the endpoint is.",""
290,"Speaker 6 (Expert)","Exactly, and I think that what's now exciting about that is all three of these technologies, wireless, networking and cloud, which are normally three different communities, three different sets of technologies, three different sets of standards or practices, now have to work together in close harmony to be able to service applications that are really critical and that that might be interacting with the physical world in ways where safety is a potential concern.",""
291,"Speaker 1 (Jim Kurose)","You know, we've had cellular networks now for 20, 30 years.",""
292,"Speaker 1 (Jim Kurose)","So when we hear about 5G, what's trumpeted the most is the fact that oh, super high bandwidth, right?",""
293,"Speaker 1 (Jim Kurose)","But I sense that the exciting things are more than just the network being faster.",""
294,"Speaker 6 (Expert)","I agree.",""
295,"Speaker 6 (Expert)","It's both the high bandwidth, it's the low delay so that you can have these applications that interact with the physical world and need answers in real-time.",""
296,"Speaker 6 (Expert)","It's about having the compute really close so that you can integrate computation and communication.",""
297,"Speaker 6 (Expert)","It's about having more coverage.",""
298,"Speaker 1 (Jim Kurose)","Coming back again to the softwarization.",""
299,"Speaker 1 (Jim Kurose)","SDN and softwarization is a maybe a little bit behind the covers, that you wouldn't normally see it as a user going from 3G to 4G to 5G.",""
300,"Speaker 1 (Jim Kurose)","You just see an increase in speed.",""
301,"Speaker 1 (Jim Kurose)","But yet, the way the network is now being managed again, I think is bringing the cellular networking world sort of into the internet world in terms of the softwarization-",""
302,"Speaker 6 (Expert)","Completely agree.",""
303,"Speaker 6 (Expert)","I think the bringing in of compute and storage is important too.",""
304,"Speaker 6 (Expert)","I think when you think just about networking, it really is often just one part of the IT, the information technology ecosystem.",""
305,"Speaker 6 (Expert)","Is there's often compute and storage as well.",""
306,"Speaker 6 (Expert)","And so, I think now there's an opportunity to have all of those parts of the infrastructure work together towards an even higher level goal.",""
307,"Speaker 6 (Expert)","And so I think it's a really exciting time to be in the field 'cause now, the plumbing is getting close to the application in a way that it wasn't before.",""
