Sequence,Speaker,Utterance,Notes
292,Speaker 6 (Mike Campbell),"Hello Donna, good to see you.",
293,Speaker 1 (Donna Strickland),"Good to see you Mike, nice to have you here with me.",
294,Speaker 1 (Donna Strickland),So we go way back.,
295,Speaker 1 (Donna Strickland),"1991, the year I got married,",
296,Speaker 1 (Donna Strickland),"I moved across the country, left my husband in New Jersey,",
297,Speaker 1 (Donna Strickland),to work with you in Livermore.,
298,Speaker 6 (Mike Campbell),I remember very much and how hard it was,
299,Speaker 6 (Mike Campbell),to convince you to travel across the country,
300,Speaker 6 (Mike Campbell),and work at the lab.,
301,Speaker 1 (Donna Strickland),And stay there.,
302,Speaker 6 (Mike Campbell),And stay there.,
303,Speaker 1 (Donna Strickland),[laughing],
304,Speaker 6 (Mike Campbell),I couldn't convince you to stay.,
305,Speaker 1 (Donna Strickland),"You could not convince me to stay, no.",
306,Speaker 6 (Mike Campbell),But you were there long enough to make a big impression,
307,Speaker 6 (Mike Campbell),and get some good work done.,
308,Speaker 1 (Donna Strickland),"And I've been talking sort of,",
309,Speaker 1 (Donna Strickland),started with sort of what is a laser,
310,Speaker 1 (Donna Strickland),"through linear optics, non linear optics,",
311,Speaker 1 (Donna Strickland),"high intensity laser physics, and saying that you know,",
312,Speaker 1 (Donna Strickland),we're trying to get to that Schwinger limit,
313,Speaker 1 (Donna Strickland),of 10 to the 29 watts per square centimeter.,
314,Speaker 1 (Donna Strickland),We're about somewhere just shy of 10 to the 23,
315,Speaker 1 (Donna Strickland),I think at this point.,
316,Speaker 1 (Donna Strickland),But even if we get to 100 petawatts,
317,Speaker 1 (Donna Strickland),"and focus that down to a wavelength,",
318,Speaker 1 (Donna Strickland),we're not at 10 to the 29.,
319,Speaker 1 (Donna Strickland),So you're hoping to build the biggest laser.,
320,Speaker 6 (Mike Campbell),Yes.,
321,Speaker 1 (Donna Strickland),At Rochester.,
322,Speaker 1 (Donna Strickland),"But we're still not gonna get to the Schwinger limit,",
323,Speaker 1 (Donna Strickland),isn't that right?,
324,Speaker 6 (Mike Campbell),So just a little bit of back history again.,
325,Speaker 6 (Mike Campbell),"After you demonstrated CPA, I was intrigued by",
326,Speaker 6 (Mike Campbell),how powerful could we make lasers?,
327,Speaker 6 (Mike Campbell),And then how lasers are wonderful,
328,Speaker 6 (Mike Campbell),because they allow you to take energy,
329,Speaker 6 (Mike Campbell),and compress it in space and time.,
330,Speaker 6 (Mike Campbell),"So having high P power is something,",[P = Peak power]
331,Speaker 6 (Mike Campbell),it's been a motivator for me for a long time.,
332,Speaker 6 (Mike Campbell),And so we at the university are making proposals,
333,Speaker 6 (Mike Campbell),"to build two 25 petawatt lasers, maybe 30 petawatt lasers.",
334,Speaker 6 (Mike Campbell),We'll use them to be able to get combined power,
335,Speaker 6 (Mike Campbell),of over 10 to the 24 watts per square center.,
336,Speaker 6 (Mike Campbell),Still far from the Schwinger limit.,
337,Speaker 6 (Mike Campbell),But we have a trick.,
338,Speaker 6 (Mike Campbell),We're going to use one of these petawatt lasers,
339,Speaker 6 (Mike Campbell),to make an electron beam.,
340,Speaker 6 (Mike Campbell),And this electron beam will be relativistic.,
341,Speaker 6 (Mike Campbell),"We actually think we could make electron beam,",
342,Speaker 6 (Mike Campbell),"maybe even 100s of GeV up to TeV,",[GeV = Gigaelectronvolt; TeV = Teraelectronvolt]
343,Speaker 6 (Mike Campbell),which would be another Nobel Prize if we did that.,
344,Speaker 1 (Donna Strickland),"That's right, if you can do that, go for it.",
345,Speaker 6 (Mike Campbell),"And then we will shine that laser onto that electron beam,",
346,Speaker 6 (Mike Campbell),"and the electron's rest frame, we beat the Schwinger limit.",
347,Speaker 1 (Donna Strickland),"Okay, but that's kind of cheating.",
348,Speaker 1 (Donna Strickland),That's not getting to 10 to the 29.,
349,Speaker 6 (Mike Campbell),If you could do it with 100% efficiency,
350,Speaker 6 (Mike Campbell),that's all we need.,
351,Speaker 1 (Donna Strickland),That's why I wanna cheat.,
352,Speaker 6 (Mike Campbell),That's the Nobel Prize winning idea though,
353,Speaker 6 (Mike Campbell),if we can come up with it.,
