Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Daphna Shohamy),"What do you know about memory?",
2,Speaker 3 (teen),"I know when you see something you could like kind of like picture it, like in your head you can imagine it.",
3,Speaker 3 (teen),"I remember yesterday I got like orange juice, but let's say like a year or two, you might think like, oh, that day I got water.",
4,Speaker 1 (Daphna Shohamy),"On one hand memory is like a record of something that happened in the past that we can carry with us and we can like bring it back to mind.",
5,Speaker 1 (Daphna Shohamy),"And on the other hand we need to be a little bit suspicious sometimes because we might get it wrong.",
6,Speaker 1 (Daphna Shohamy),"In what world would that memory of the orange juice maybe be useful?",
7,Speaker 3 (teen),"Let's say you grew up in a place that the orange juice is just meh, and then you go on vacation going somewhere and then it might change how you feel about orange juice.",
8,Speaker 1 (Daphna Shohamy),"Sometimes, you know, memory is doing something much simpler but no less important for us, which is it's helping us figure out what's good and what's bad.",
9,Speaker 1 (Daphna Shohamy),"And if we can remember what's good and what's bad from what we did in the past, that can help us make decisions about what to do next time.",
10,Speaker 1 (Daphna Shohamy),"So Dylan, you may be surprised to learn this, but we asked your mom what some of your favorite candies are.",
11,Speaker 1 (Daphna Shohamy),"So you have to make a decision between these two candies and whichever one you pick, you actually get to take with you.",
12,Speaker 3 (teen),"I wish I could say both, but I guess I'll go with pixie sticks.",
13,Speaker 1 (Daphna Shohamy),"There you go, there is your decision.",
14,Speaker 1 (Daphna Shohamy),"Okay, you can take those.",
15,Speaker 1 (Daphna Shohamy),"It took you some time there.",
16,Speaker 1 (Daphna Shohamy),"You looked like you were really working hard at that problem.",
17,Speaker 1 (Daphna Shohamy),"And that's interesting because actually we know that from research that when people have to make a decision between two things they like equally, some people like economists think oh those are the easiest decisions because they're both good options.",
18,Speaker 1 (Daphna Shohamy),"But as psychologists and neuroscientists we know it's the opposite.",
19,Speaker 1 (Daphna Shohamy),"One of the reasons is because there's no simple answer of like I know that one's better I'm just gonna go with it.",
20,Speaker 1 (Daphna Shohamy),"And so we think that that's the kind of decision where memory is especially important because you have to kind of come up with more information.",
21,Speaker 3 (teen),"Exactly, and then also like after it was like, maybe like I would've, enjoyed this more than that and like maybe I should've chose the other one.",
22,Speaker 3 (teen),"And you don't know.",
23,Speaker 1 (Daphna Shohamy),"Everything you just said is exactly what we know from research.",
24,Speaker 1 (Daphna Shohamy),"All the thoughts running through your mind, were really at kind of about a prediction into the future, right?",
25,Speaker 1 (Daphna Shohamy),"You're like, how, how will this taste if, when it's in my mouth or how will I feel about my decision down the road?",
26,Speaker 1 (Daphna Shohamy),"You know we think of memory as something in the past, but it's an example of how you use your memories of these two candies to predict what's gonna happen in the future so that you can make a decision in the present.",
27,Speaker 1 (Daphna Shohamy),"But you did it, you made your way through that torture.",
28,Speaker 1 (Daphna Shohamy),"And now you've got to keep the candy.",
29,Speaker 3 (teen),"Am I always gonna like choose pixie sticks or sour patch kids?",
30,Speaker 3 (teen),"What's gonna like change that?",
31,Speaker 1 (Daphna Shohamy),"We fluctuate a lot because we use different kinds of memory to kind of resolve the uncertainty basically every time.",
32,Speaker 1 (Daphna Shohamy),"But also the way we make decisions will change because our memories change.",
33,Speaker 1 (Daphna Shohamy),"What's interesting about your brain as a teenager is that we know it's actually a phase of life where the brain is especially sensitive to rewards, to things that are exciting and positive.",
34,Speaker 1 (Daphna Shohamy),"It's a phase of life where those rewards, whether it's candy or your friends or whatever it is that's exciting can have an especially powerful control over the decisions you make and the memories you create.",
