Sequence,Speaker,Utterance,Notes
1,Speaker 5 (Mala Ananth),"It's a large-scale attempt to understand the wiring map of the brain essentially.",""
2,Speaker 1 (Dr. Bobby Kasthuri),"Great.",""
3,Speaker 5 (Mala Ananth),"I think that it's definitely needed um understanding the anatomy of the brain is definitely important but it doesn't necessarily tell us everything about the function.",""
4,Speaker 5 (Mala Ananth),"So there's some sort of temporal order from neuron to neuron and region to region that we may not be able to pick up.",""
5,Speaker 1 (Dr. Bobby Kasthuri),"This is where it gets really crazy mhm could we simulate that map inside a computer and would that computer then be thinking like that original brain for which we made the map?",""
6,Speaker 5 (Mala Ananth),"I mean that's not that's not the person.",""
7,Speaker 5 (Mala Ananth),"I mean having a representation of someone's neural network is just that it's just a representation of their neural network.",""
8,Speaker 1 (Dr. Bobby Kasthuri),"Because there's more to the to you in here than just information passing between neurons.",""
9,Speaker 5 (Mala Ananth),"I'd like to think so huh.",""
10,Speaker 1 (Dr. Bobby Kasthuri),"It would be like if you simulated a hurricane imagine we could keep track of every variable of a hurricane wind speed every water molecule etc etc temperature and we put that inside a super fast computer and we simulated it right.",""
11,Speaker 1 (Dr. Bobby Kasthuri),"I don't think anyone would think that the inside of the computer would get wet uh uh even though we had simulated the hurricane perfectly.",""
12,Speaker 1 (Dr. Bobby Kasthuri),"That wetness is consciousness is what we are are is it ethical to imagine mapping a a male brain versus a female brain to look for differences between those to explain alleged behavioral differences between them?",""
13,Speaker 5 (Mala Ananth),"Every single person is different and so it should be okay to map every single person's brain.",""
14,Speaker 5 (Mala Ananth),"I mean I understand that there are that it's very sensitive you know wait.",""
15,Speaker 1 (Dr. Bobby Kasthuri),"What do you think is sensitive?",""
16,Speaker 5 (Mala Ananth),"Mapping an Indian brain versus a Caucasian brain or politically I think that people may have some issue with mapping out what causes or what makes a difference between huh different types of people.",""
