Sequence,Speaker,Utterance
1,"Speaker 1 (Dr. Bobby Kasthuri)","Maybe a wiring diagram is not sufficient to understand a brain and it would be crazy to think that that would be sufficient actually."
2,"Speaker 6 (Russell Hanson)","If you limit the connectum to be just the wiring diagram without you know more information about uh myelination or glial cells or all types of environmental features that surround you know the neurons and axons then you have an incomplete picture right no doubt."
3,"Speaker 1 (Dr. Bobby Kasthuri)","Sometimes when people get um they worry about connectomics."
4,"Speaker 1 (Dr. Bobby Kasthuri)","I think what they're actually worrying about is that it's the end of the way that we used to do neuroscience."
5,"Speaker 6 (Russell Hanson)","What do you think about memory?"
6,"Speaker 6 (Russell Hanson)","Do you think that there's um ways of resolving what the substrate of human memory is?"
7,"Speaker 6 (Russell Hanson)","You know is it just LTP and LTD?"
8,"Speaker 1 (Dr. Bobby Kasthuri)","I'm not sure if you had a connectome of a human brain of an adult human I would be able to read out memories from that."
9,"Speaker 6 (Russell Hanson)","You don't think it's just the synaptic weights like an artificial neural network gets trained to do particular things?"
10,"Speaker 1 (Dr. Bobby Kasthuri)","It could absolutely be but without knowing what the weights were before the memory was made."
11,"Speaker 6 (Russell Hanson)","What if you had a violinist learn a piece of Bach music and could you find those notes somewhere in their brain they didn't know before?"
12,"Speaker 6 (Russell Hanson)","I'm a musician and I don't think it's possible."
13,"Speaker 6 (Russell Hanson)","I think that there are too many you know so much of it is associative to what you already know."
14,"Speaker 1 (Dr. Bobby Kasthuri)","And as a musician how much of it do you think is in your hands versus in your brains?"
15,"Speaker 1 (Dr. Bobby Kasthuri)","Meaning like you do have connections in your muscles from the nerves that are from your spinal cord."
16,"Speaker 1 (Dr. Bobby Kasthuri)","What if some of the learning is there?"
17,"Speaker 6 (Russell Hanson)","Are you still doing EM?"
18,"Speaker 1 (Dr. Bobby Kasthuri)","Yeah I mean we do a lot of X-ray in addition to EM."
19,"Speaker 1 (Dr. Bobby Kasthuri)","And this is actually I'm not saying it's the only problem but it's the only problem that needs to be solved right away is the data analysis."
20,"Speaker 1 (Dr. Bobby Kasthuri)","In fact I think we calculated that there aren't enough humans ever to map a mouse brain where you collect every connection."
21,"Speaker 1 (Dr. Bobby Kasthuri)","So the problem is to get algorithms to trace and recognize things in brains the way humans recognize things in brains or map things trace things in brains."
22,"Speaker 1 (Dr. Bobby Kasthuri)","It's going to cost a lot of money to imagine setting the gold standard for the wiring diagram even once."
23,"Speaker 1 (Dr. Bobby Kasthuri)","And those are the kinds of ethical concerns that I'm worried about."
