Sequence,Speaker,Utterance,Notes
1,"Speaker 1 (Dr. Anne White)","So what have you heard about fusion already before today?",""
2,"Speaker 4 (college student - Yash)","The impeding joke is that,",""
3,"Speaker 4 (college student - Yash)","you know,",""
4,"Speaker 4 (college student - Yash)","we've looked forward to fusion for a long time,",""
5,"Speaker 4 (college student - Yash)","but you're not exactly,",""
6,"Speaker 4 (college student - Yash)","you're not in there yet.",""
7,"Speaker 4 (college student - Yash)","But if we do ever get there,",""
8,"Speaker 4 (college student - Yash)","it would solve a lot of our energy problems in a dramatic way.",""
9,"Speaker 1 (Dr. Anne White)","Do you have any idea about any of the challenges?",""
10,"Speaker 1 (Dr. Anne White)","Like why has it taken us so long to get to fusion?",""
11,"Speaker 4 (college student - Yash)","Making a star on earth is not easy.",""
12,"Speaker 1 (Dr. Anne White)","So we are trying to bring a star to earth.",""
13,"Speaker 1 (Dr. Anne White)","We are not going to be using hydrogen the way our star in our solar system,",""
14,"Speaker 1 (Dr. Anne White)","our sun,",""
15,"Speaker 1 (Dr. Anne White)","uses hydrogen to make helium",""
16,"Speaker 1 (Dr. Anne White)","and generates fusion energy that way.",""
17,"Speaker 1 (Dr. Anne White)","Instead on earth we're gonna be using isotopes of hydrogen,",""
18,"Speaker 1 (Dr. Anne White)","deuterium and tritium.",""
19,"Speaker 1 (Dr. Anne White)","What do you know about charged particles?",""
20,"Speaker 1 (Dr. Anne White)","If I want to try and push two positively charged particles together,",""
21,"Speaker 1 (Dr. Anne White)","two protons together,",""
22,"Speaker 1 (Dr. Anne White)","what do you think is gonna happen?",""
23,"Speaker 4 (college student - Yash)","They repel each other",""
24,"Speaker 4 (college student - Yash)","and they don't like being close together,",""
25,"Speaker 4 (college student - Yash)","so they push back by that force.",""
26,"Speaker 1 (Dr. Anne White)","What we're gonna call the pushback is a Coulomb interaction,",""
27,"Speaker 1 (Dr. Anne White)","or a Coulomb collision.",""
28,"Speaker 1 (Dr. Anne White)","So you can sort of imagine if I were to take a deuteron and a triton,",""
29,"Speaker 1 (Dr. Anne White)","and so those are the positively charged ions of deuterium and tritium,",""
