Sequence,Speaker,Utterance,Notes
1,"Speaker 1 (Sekhar Ramanathan)","What year are you in?",""
2,"Speaker 4 (College Student)","I'm a senior, I'm studying physics right now.",""
3,"Speaker 1 (Sekhar Ramanathan)","Cool.",""
4,"Speaker 1 (Sekhar Ramanathan)","What do you think of when you hear the words quantum sensing?",""
5,"Speaker 4 (College Student)","I think that using some sort of quantum computing to sense some quantum level molecules or particles, like interactions and stuff, maybe.",""
6,"Speaker 1 (Sekhar Ramanathan)","Yeah.",""
7,"Speaker 1 (Sekhar Ramanathan)","It is exactly using quantum phenomena to sense and measure things and the idea is that, if I can harness quantum phenomena and I can push the limits that are possible, I can get something that's ultimately more precise and potentially more accurate over time too.",""
8,"Speaker 4 (College Student)","Okay.",""
9,"Speaker 4 (College Student)","How is it more precise?",""
10,"Speaker 1 (Sekhar Ramanathan)","We believe quantum mechanics tells us what the true laws of physics are, and so a quantum sensor, in that sense, would reach the limits of what's attainable.",""
11,"Speaker 4 (College Student)","It would be the top tier.",""
12,"Speaker 1 (Sekhar Ramanathan)","It would be the top tier.",""
13,"Speaker 4 (College Student)","What are you doing?",""
14,"Speaker 4 (College Student)","Like, what are you studying?",""
15,"Speaker 1 (Sekhar Ramanathan)","So I study spins.",""
16,"Speaker 1 (Sekhar Ramanathan)","And so, spins are one of the platforms that people have suggested is a useful platform for building quantum technologies and I study spins on the solid state.",""
17,"Speaker 1 (Sekhar Ramanathan)","And one of the platforms I work on is nitrogen-vacancy centers in diamond.",""
18,"Speaker 4 (College Student)","Okay.",""
19,"Speaker 1 (Sekhar Ramanathan)","Which is a really nice platform because the spins show their quantum properties, even at room temperature.",""
20,"Speaker 4 (College Student)","So, are you studying the spins of the electrons?",""
21,"Speaker 1 (Sekhar Ramanathan)","So in some sense, the phenomena we're studying essentially is nuclear magnetic resonance or electron spin resonance which is a very similar phenomena, but uses the spin of the electron rather than the spin of the nuclei.",""
22,"Speaker 4 (College Student)","So you mentioned the diamonds that are used to create the sensors.",""
23,"Speaker 1 (Sekhar Ramanathan)","Right.",""
24,"Speaker 4 (College Student)","So how long does it take to make a sensor and to make that diamond?",""
