Sequence,Speaker,Utterance,Notes
1,"Speaker 6 (Steve - expert/physicist)","I'm a theoretical physicist.",""
2,"Speaker 6 (Steve - expert/physicist)","I started out in condensed matter theory, a theory that studies superconductors and magnets.",""
3,"Speaker 6 (Steve - expert/physicist)","And I had to learn a new field of quantum optics and apply those ideas.",""
4,"Speaker 6 (Steve - expert/physicist)","One of the nice things about being a theorist is you get to keep learning new things.",""
5,"Speaker 1 (Talia Gershon)","So Steve, tell me about your research and the work you've been doing in quantum computing.",""
6,"Speaker 6 (Steve - expert/physicist)","My main focus right now is quantum error correction and trying to understand this concept of fault tolerance.",""
7,"Speaker 6 (Steve - expert/physicist)","Which everybody thinks they know when they see it, but nobody in the quantum case can precisely define it.",""
8,"Speaker 1 (Talia Gershon)","It's something that we've already figured out for classical computing.",""
9,"Speaker 1 (Talia Gershon)","Something that amazes me is all the parallels between what we're going through now for quantum computing and what we went through for classical computing.",""
10,"Speaker 6 (Steve - expert/physicist)","I was asking a computer scientist recently where to read about fault tolerance in classical computing.",""
11,"Speaker 6 (Steve - expert/physicist)","He said they don't teach that in computer science classes anymore because the hardware has become so reliable.",""
12,"Speaker 6 (Steve - expert/physicist)","In a quantum system, when you look at it or make measurements, it can change in a way that's beyond your control.",""
13,"Speaker 6 (Steve - expert/physicist)","We have the following task: build a nearly perfect computer out of a whole bunch of imperfect parts.",""
14,"Speaker 1 (Talia Gershon)","Common myth: how many qubits do you have? That's the only thing that matters.",""
15,"Speaker 1 (Talia Gershon)","Just add more qubits—what's the big deal? Pattern them on your chip.",""
16,"Speaker 6 (Steve - expert/physicist)","The great power of a quantum computer is also its Achilles heel.",""
17,"Speaker 6 (Steve - expert/physicist)","It's very sensitive to perturbations, noise, and environmental effects.",""
18,"Speaker 6 (Steve - expert/physicist)","You're just multiplying your problems if all you're doing is adding qubits.",""
19,"Speaker 1 (Talia Gershon)","Exactly. Something that frustrates a lot of people about quantum computing is the concept of decoherence.",""
20,"Speaker 1 (Talia Gershon)","You can only keep your information quantum for so long.",""
21,"Speaker 1 (Talia Gershon)","That limits how many operations you can do in a row before you lose your information.",""
22,"Speaker 6 (Steve - expert/physicist)","That's the challenge, I would say.",""
23,"Speaker 6 (Steve - expert/physicist)","As much progress as we've made, it's frustrating to still be facing it.",""
24,"Speaker 1 (Talia Gershon)","Let's talk about what needs to happen between now and fully fault-tolerant quantum computers.",""
25,"Speaker 1 (Talia Gershon)","There are so many things that need to happen.",""
26,"Speaker 1 (Talia Gershon)","One thing is building layers of abstraction that make it easier for programmers to enter at the ground level.",""
27,"Speaker 6 (Steve - expert/physicist)","Exactly. There's going to be a co-evolution of hardware, software, middleware, and the whole stack.",""
28,"Speaker 1 (Talia Gershon)","Another common myth is that in the next five years quantum computing will solve climate change and cancer.",""
29,"Speaker 6 (Steve - expert/physicist)","In the next five years there will be tremendous progress, but we're still at the vacuum tube or transistor stage.",""
30,"Speaker 6 (Steve - expert/physicist)","We're trying to invent the integrated circuit and scale up; it's still very early.",""
31,"Speaker 1 (Talia Gershon)","One last myth: quantum computers are about to break into your bank account and break encryption.",""
32,"Speaker 6 (Steve - expert/physicist)","There exists Shor's algorithm, which proves that a large enough quantum computer could factor large numbers.",""
33,"Speaker 6 (Steve - expert/physicist)","That underlies RSA encryption, which is widely used on the internet.",""
34,"Speaker 6 (Steve - expert/physicist)","First, we're far from having a quantum computer large enough to run Shor's algorithm at that scale.",""
35,"Speaker 6 (Steve - expert/physicist)","Second, there are many encryption schemes that don't rely on factoring.",""
36,"Speaker 6 (Steve - expert/physicist)","So nobody needs to be concerned at the moment.",""
37,"Speaker 6 (Steve - expert/physicist)","In the end, quantum mechanics actually supports privacy enhancement.",""
38,"Speaker 6 (Steve - expert/physicist)","Quantum communication channels can be provably secure based on the laws of physics.",""
39,"Speaker 1 (Talia Gershon)","Now that people can access quantum computers through the cloud, they're building games and doing cool things.",""
40,"Speaker 1 (Talia Gershon)","We've seen the emergence of quantum games.",""
41,"Speaker 1 (Talia Gershon)","What do you think people want to do with them?",""
42,"Speaker 6 (Steve - expert/physicist)","I have no idea what people will end up using them for.",""
43,"Speaker 6 (Steve - expert/physicist)","If you handed someone an iPhone 30 years ago, they would have called you a wizard.",""
44,"Speaker 6 (Steve - expert/physicist)","Things are going to happen that we just can't foresee.",""
