Sequence,Speaker,Utterance
1,Speaker 1 (Brian Greene),"If I was to ask you, what is time?"
2,Speaker 1 (Brian Greene),"What would you say?"
3,Speaker 3 (teen),"Time is kind of strange because it's almost a man-made idea."
4,Speaker 3 (teen),"There is the tangible of, you know, how the Earth revolves around the sun or how we orbit around ourselves."
5,Speaker 3 (teen),"It's almost in a way, does it exist if the way that we measure it is man-made?"
6,Speaker 1 (Brian Greene),"Before there was any life on planet Earth, I think we all agree the universe existed."
7,Speaker 1 (Brian Greene),"Did things change before there was life on Earth?"
8,Speaker 1 (Brian Greene),"And how would you talk about that change without invoking this concept of time?"
9,Speaker 3 (teen),"It's difficult to talk about something without adding time into it."
10,Speaker 1 (Brian Greene),"Even if it is a human-made concept, that the universe evolved, developed, changed through time ultimately giving rise to galaxies, stars, planets, and on this particular planet, life."
11,Speaker 1 (Brian Greene),"That conception of time gives a feel that it's like universal, that it's out there."
12,Speaker 1 (Brian Greene),"It's the same for everybody."
13,Speaker 1 (Brian Greene),"It's independent of our actions or activities."
14,Speaker 1 (Brian Greene),"Do you know that Albert Einstein shattered that view of time?"
15,Speaker 1 (Brian Greene),"He found that if you and I, say have identical wristwatches, I'm sitting still and I'm watching you move, I will find that your clock is ticking off time more slowly than my clock."
16,Speaker 1 (Brian Greene),"But you know it's really remarkable?"
17,Speaker 1 (Brian Greene),"You can figure out this quality of time if you know one fact, that the speed of light is constant."
18,Speaker 1 (Brian Greene),"Have you ever heard that phrase?"
19,Speaker 3 (teen),"My freshman year physics class."
20,Speaker 1 (Brian Greene),"Yeah."
21,Speaker 1 (Brian Greene),"And if you're clever, you can use that with high school algebra, maybe even a little high school trigonometry to make it even easier, to derive that clocks tick off time at a different rate."
22,Speaker 1 (Brian Greene),"Do you want me to show you how that goes?"
23,Speaker 3 (teen),"Yes, please."
24,Speaker 1 (Brian Greene),"All right."
25,Speaker 1 (Brian Greene),"So, to figure out the effect of motion on time, I'm going to use a really simple clock."
26,Speaker 1 (Brian Greene),"It's called a light clock."
27,Speaker 1 (Brian Greene),"It's two mirrors that are facing each other."
28,Speaker 1 (Brian Greene),"And what we do is we have a little ball of light, called a photon, right, that goes up, hits the top mirror, then comes back down and hits the bottom mirror."
29,Speaker 1 (Brian Greene),"And every time it does that, we go tick tock."
30,Speaker 1 (Brian Greene),"That's one unit of time."
31,Speaker 1 (Brian Greene),"Imagine now, we have another one of these light clocks, but I'm going to have it in motion."
32,Speaker 1 (Brian Greene),"Now, what do you notice about that path?"
33,Speaker 3 (teen),"It's much longer."
34,Speaker 1 (Brian Greene),"It's much longer, right?"
