Sequence,Speaker,Utterance,Notes
1,"Brian Greene, PhD","So often when we try to give the basic idea of what time is.",""
2,"Brian Greene, PhD","I'm fond of saying look space is the language that allows us to say where events take place.",""
3,"Brian Greene, PhD","And time is the language that allows us to specify when they take place.",""
4,"Brian Greene, PhD","Where would you jump off from there and trying to give a deeper understanding of the basics of time?",""
5,"Massimo Porrati (Expert)","Maybe part of the distinction in between time and space it's that you have a clear irreversible evolution.",""
6,"Massimo Porrati (Expert)","So how to explain what time is?",""
7,"Massimo Porrati (Expert)","Well it's a parameter that is measured by clocks.",""
8,"Massimo Porrati (Expert)","I mean at the end this is what we know.",""
9,"Brian Greene, PhD","And allows us to talk about change.",""
10,"Massimo Porrati (Expert)","And also that we know how to describe in terms of some set of equations.",""
11,"Brian Greene, PhD","Which gives a clear sense of causality.",""
12,"Brian Greene, PhD","To note our recent paper where we were thinking about Einstein's ideas of special relativity but in a setting where the global shape of the spacetime suppose imagine there might be a curled up dimension of space a circular dimension and thought about how special relativity works in that setting.",""
13,"Brian Greene, PhD","We came to the result in this very basic setting you can send signals into the past not in a way that will violate causality.",""
14,"Brian Greene, PhD","Did that surprise you that by going from the usual topology that doesn't have a closed part of space?",""
15,"Brian Greene, PhD","But making that one change you could have this radical impact.",""
16,"Massimo Porrati (Expert)","I found quite surprising that you could have this exotic behavior of signal propagation in a system that was extremely simple totally classical.",""
17,"Massimo Porrati (Expert)","There was nothing weird except one dimension that was compactified identified on a circle.",""
18,"Massimo Porrati (Expert)","Actually even the standard vanilla causal structure of special relativity may give some very unexpected behaviors when you combine it with other simple modifications of just the flat spacetime.",""
19,"Brian Greene, PhD","And the beauty of it is it's not like there was some high powered mathematical methodology.",""
20,"Brian Greene, PhD","Straightforward algebra that a high school kid would know is all that you need to extract these unusual results.",""
21,"Massimo Porrati (Expert)","And they were unusual because even if you do not violate causality we discovered that a fast moving observer that could be us on a rocket could send signals very far and then back in a very small time.",""
22,"Brian Greene, PhD","And so the old idea that of course we always hear about that if we ever make contact with extraterrestrial life if they're far away we can't really have a conversation because we'll say hello and then like ten thousand years or one hundred thousand years later they'll answer us because they'll take that long for the signals.",""
23,"Brian Greene, PhD","But at least in this setup which we don't know is true about our universe but if it were then you could have a real time conversation over arbitrarily large distances.",""
24,"Massimo Porrati (Expert)","Which is that was unexpected.",""
25,"Massimo Porrati (Expert)","And so that shows how even ideas that seem to be well settled and well understood have surprises.",""
26,"Brian Greene, PhD","Like why didn't Einstein realize this?",""
27,"Massimo Porrati (Expert)","Yeah maybe the idea of living on a subspace of being confined in this extra dimension on a surface may have been looked exotic but definitely did not look exotic after the nineteen nineties.",""
28,"Brian Greene, PhD","Many people have begun thinking about the possibility that space and time may be so called emergent quantities that they're not as fundamental as perhaps Newton or Einstein would've thought.",""
29,"Brian Greene, PhD","Where do you stand on that idea?",""
30,"Massimo Porrati (Expert)","It seems not unthinkable.",""
31,"Massimo Porrati (Expert)","Saying that something is emergent will make full sense only when we have some concrete model in which space and time emerge in which we make sense of this non space non time description of a theory.",""
32,"Massimo Porrati (Expert)","I don't know if we are still at this stage in which I would say we begin to understand this scenario because often I tell my students the greatest scientific revolution has been not in the twentieth century.",""
33,"Massimo Porrati (Expert)","Has not been quantum mechanics nor general relativity nor special relativity.",""
34,"Massimo Porrati (Expert)","That's been the passage from qualitative description of nature the quantitative one.",""
35,"Massimo Porrati (Expert)","When you pass from asking how to how much then you understand something.",""
36,"Brian Greene, PhD","And who do you credit with that?",""
37,"Brian Greene, PhD","Is that Newton?",""
38,"Brian Greene, PhD","Do you go Newton or a little bit below?",""
39,"Brian Greene, PhD","Do you Galileo?",""
40,"Massimo Porrati (Expert)","I would say Galileo Newton.",""
41,"Massimo Porrati (Expert)","Of course the completion of this idea is Newton.",""
42,"Brian Greene, PhD","One of the things that relativity also sheds a light on is what exists that if someone's moving relative to me what they consider now might be in my past what they consider now might be in my future which would suggest that all of time exists much as we're willing to accept that all of space exists.",""
43,"Brian Greene, PhD","Is that cold water?",""
44,"Massimo Porrati (Expert)","Actually it resonates with me for various reasons.",""
45,"Massimo Porrati (Expert)","One is that professionally we use spacetime diagrams Penrose diagrams a lot of diagrams where space and time are just two axes on a board.",""
46,"Massimo Porrati (Expert)","And when we describe a particle we have a line that goes up in time.",""
47,"Massimo Porrati (Expert)","By the way this image also is the last image in Proust the last page there is this beautiful sentence which is also true saying that if he has the time he would like to describe people as being monstrous beings that extending time much longer than in space.",""
48,"Massimo Porrati (Expert)","If c equals one that's very true.",""
49,"Massimo Porrati (Expert)","So this idea that you have a continuum and time should not be made to disappear as soon as it's gone is very practical.",""
50,"Massimo Porrati (Expert)","It's also what is behind the idea of histories in quantum mechanics.",""
51,"Massimo Porrati (Expert)","When in the approach of various people including Hartle that collaborated a lot with Hawking.",""
52,"Massimo Porrati (Expert)","There is this idea that what you describe is a history it's not a particular moment in time but it's an evolution.",""
53,"Massimo Porrati (Expert)","This history treats space and time on a more equal basis.",""
54,"Brian Greene, PhD","But would you say there's more to it than the technical more to it than the diagrams more to it than sort of an interpretation of the mathematical equations?",""
55,"Brian Greene, PhD","Would you go so far as to take solace in the fact that in a sense that you will always exist because you will always be at the moments of space and time that you have occupied throughout your life?",""
56,"Massimo Porrati (Expert)","Well actually that's probably the only way in which you can take solace because all the rest is almost children's stories.",""
57,"Massimo Porrati (Expert)","Yeah.",""
58,"Massimo Porrati (Expert)","I mean of course it's something that you come by yourself and you arrive at this conclusion which is totally not objective and is part of your personal history by yourself.",""
59,"Massimo Porrati (Expert)","But it was interesting to see that for instance Kurt Vonnegut had exactly the same take.",""
60,"Massimo Porrati (Expert)","He said no I mean the only thing that really makes you not fear what will happen or your own mortality is that every instant is a turn of instances exactly as each point in space is nothing space disappears.",""
61,"Brian Greene, PhD","It will always be there.",""
62,"Massimo Porrati (Expert)","Yeah the idea that something is irretrievable maybe is an accident and we go back again to all the initial conditions in which we started.",""
63,"Brian Greene, PhD","Absolutely.",""
