Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Amit Sahai),"Shang-Hua, it's so great to see you again.",
2,Speaker 1 (Amit Sahai),"I think last time we met was in 2017 or something like that.",
3,Speaker 6 (expert),"I think we Zoomed once during the pandemic, but it's good to see you in person.",
4,Speaker 1 (Amit Sahai),"Right.",
5,Speaker 1 (Amit Sahai),"Absolutely.",
6,Speaker 6 (expert),"And actually, in '86 I was taking a crypto class with Professor Leonard Edelman, the A of RSA.",
7,Speaker 6 (expert),"And he assigned me the paper by Goldwasser, Micali, and Charlie Rackoff on zero-knowledge proof.",
8,Speaker 6 (expert),"So that's indeed my first ever presentation, ever, in this country.",
9,Speaker 1 (Amit Sahai),"Was about zero-knowledge.",
10,Speaker 1 (Amit Sahai),"That's awesome.",
11,Speaker 6 (expert),"Was about zero-knowledge, yes.",
12,Speaker 1 (Amit Sahai),"It's such a almost hypnotic concept.",
13,Speaker 6 (expert),"It's also an interesting way how mathematically to formulate those concepts, right.",
14,Speaker 6 (expert),"For example, we have data.",
15,Speaker 6 (expert),"Then eventually we started from data, like data mining, you can get the information, and then you have this word called knowledge.",
16,Speaker 1 (Amit Sahai),"Right.",
17,Speaker 6 (expert),"Right.",
18,Speaker 6 (expert),"So knowledge has been long debated, even in philosophy.",
19,Speaker 6 (expert),"What is knowledge?",
20,Speaker 1 (Amit Sahai),"Indeed.",
21,Speaker 6 (expert),"But here is a very fascinating way mathematicians or computer scientists want to somehow capture this knowledge.",
22,Speaker 6 (expert),"It didn't say zero-information proof.",
23,Speaker 6 (expert),"Right.",
24,Speaker 6 (expert),"So what's your take on why knowledge is, rather than information, or zero-data proof.",
25,Speaker 6 (expert),"Clearly, there's data there.",
26,Speaker 6 (expert),"So can't be zero-data.",
27,Speaker 1 (Amit Sahai),"Absolutely.",
28,Speaker 1 (Amit Sahai),"I don't think we still have a completely satisfactory answer to that question.",
29,Speaker 1 (Amit Sahai),"What was so, such a beautiful insight, as I'm sure you know, is that the idea of zero-knowledge being something that you can already predict.",
30,Speaker 6 (expert),"Mm-hmm.",
31,Speaker 1 (Amit Sahai),"Right.",
32,Speaker 6 (expert),"Mm-hmm.",
33,Speaker 1 (Amit Sahai),"If you can already predict the answer, then you must not be gaining any knowledge by that interaction.",
34,Speaker 1 (Amit Sahai),"This insight of being able to predict the future accurately, and that being an evidence of a lack of new knowledge, Mm-hmm.",
35,Speaker 1 (Amit Sahai),"was such a beautiful insight, such an amazing insight.",
36,Speaker 6 (expert),"Well there's not zero-information here.",
37,Speaker 6 (expert),"Fundamentally I, clearly from computing perspective, security perspective, is how much knowledge you're gaining, I guess.",
38,Speaker 6 (expert),"More than how much information you've gained.",
39,Speaker 6 (expert),"Indeed.",
40,Speaker 6 (expert),"And how much data you have.",
41,Speaker 6 (expert),"Right.",
42,Speaker 6 (expert),"Right.",
43,Speaker 6 (expert),"So that data then immediately imply, a knowledge.",
44,Speaker 6 (expert),"But people can't, sometimes.",
45,Speaker 1 (Amit Sahai),"Right.",
46,Speaker 1 (Amit Sahai),"Sometimes.",
47,Speaker 1 (Amit Sahai),"I mean, for example, in medical research, how amazing would it be, right, to be able to have a drug, and be able to prove that my drug works in this model.",
48,Speaker 6 (expert),"Mm-hmm.",
49,Speaker 1 (Amit Sahai),"And yet, not have to actually reveal the structure of the compound.",
50,Speaker 6 (expert),"What, currently, you're saying it would be the next directions in this space.",
51,Speaker 1 (Amit Sahai),"What's the next big things?",
52,Speaker 1 (Amit Sahai),"Yes.",
53,Speaker 1 (Amit Sahai),"Yeah.",
54,Speaker 1 (Amit Sahai),"This concept of zero-knowledge programs would allow you to carry out completely arbitrary computations.",
55,Speaker 6 (expert),"Mm-hmm.",
56,Speaker 1 (Amit Sahai),"in a zero-knowledge way, without any interaction, right.",
57,Speaker 1 (Amit Sahai),"I can just take the program, convert it to a zero-knowledge program, or an obfuscated program, and then just send it to you.",
58,Speaker 6 (expert),"Mm-hmm.",
59,Speaker 1 (Amit Sahai),"And then you can run it and gain the benefit of that computation without having to talk to me anymore.",
60,Speaker 6 (expert),"That's right.",
61,Speaker 6 (expert),"There's a non-interactive nature.",
62,Speaker 1 (Amit Sahai),"The non-interactive nature.",
63,Speaker 6 (expert),"But there's verifiability in it.",
64,Speaker 1 (Amit Sahai),"Indeed.",
65,Speaker 6 (expert),"Sometimes when, for example, when you have multi-protocol exchange that, you know, just like a random number showed up, you have to enter the random number.",
66,Speaker 6 (expert),"As authentication, yes.",
67,Speaker 1 (Amit Sahai),"Authentication, right.",
68,Speaker 6 (expert),"Now clearly I think in block chain, they also began to incorporate a more general knowledge of proof in the ledger.",
69,Speaker 1 (Amit Sahai),"Indeed.",
70,Speaker 1 (Amit Sahai),"We're definitely at this moment now, where zero-knowledge is gonna be used more and more.",
71,Speaker 1 (Amit Sahai),"There are so many conferences and meetings that occur in the zero-knowledge space, where you and I are not invited.",
72,Speaker 1 (Amit Sahai),"Because it's for the people who are developing.",
73,Speaker 1 (Amit Sahai),"You know, the people who are programming, not us mathematicians.",
74,Speaker 6 (expert),"Yes, yes.",
75,Speaker 1 (Amit Sahai),"And I think that's a sign.",
76,Speaker 1 (Amit Sahai),"That's a sign that our baby has grown up and, you know, it's time for it to be developed.",
77,Speaker 6 (expert),"I think, profoundly, the students often also ask me, what are the future direction, both in terms of crypto, zero-knowledge proof, in the real world and how mathematical you see in computing.",
78,Speaker 1 (Amit Sahai),"It's a great question.",
79,Speaker 1 (Amit Sahai),"I wish I could see the future.",
80,Speaker 1 (Amit Sahai),"I can't actually, but let me try.",
81,Speaker 1 (Amit Sahai),"The part of that that I'm the most comfortable answering is of course the mathematical side.",
82,Speaker 6 (expert),"Mm-hmm.",
83,Speaker 1 (Amit Sahai),"I think that there is, you know, we've done so much in cryptography over the last few decades, but we understand so little.",
84,Speaker 1 (Amit Sahai),"You know, even today we understand so little.",
85,Speaker 1 (Amit Sahai),"And I think the most fundamental aspect of that is understanding hardness.",
86,Speaker 1 (Amit Sahai),"How do we get hard problems?",
87,Speaker 1 (Amit Sahai),"How do we actually build mathematically hard problems so that we can then use them to build efficient zero-knowledge programs.",
88,Speaker 1 (Amit Sahai),"And efficient zero-knowledge proofs, right?",
89,Speaker 6 (expert),"I guess also, in quantum computing, you need even harder problems.",
90,Speaker 1 (Amit Sahai),"Indeed.",
91,Speaker 1 (Amit Sahai),"Absolutely.",
92,Speaker 1 (Amit Sahai),"You know, now that we have the specter of quantum computing coming at us and we all know that quantum computers can break a lot of cryptographic systems.",
93,Speaker 1 (Amit Sahai),"Yes.",
94,Speaker 1 (Amit Sahai),"A profound challenge.",
95,Speaker 1 (Amit Sahai),"It's a profound challenge.",
96,Speaker 1 (Amit Sahai),"So can we find new sources of hardness that are quantum-resistant?",
97,Speaker 6 (expert),"That's right.",
98,Speaker 1 (Amit Sahai),"That even quantum computers can't break.",
99,Speaker 1 (Amit Sahai),"And that's something I've been working on for the last several years.",
100,Speaker 1 (Amit Sahai),"But I'd be very excited to see what happens in that space.",
101,Speaker 6 (expert),"But I'm sure they will motivate beautiful mathematics.",
102,Speaker 1 (Amit Sahai),"Yes, that's right.",
103,Speaker 1 (Amit Sahai),"You know, one of the great things about the real world is that people in the real world have demands.",
104,Speaker 6 (expert),"That's right.",
105,Speaker 1 (Amit Sahai),"And those demands often sound impossible.",
106,Speaker 1 (Amit Sahai),"And that's where we come in.",
107,Speaker 1 (Amit Sahai),"It's our job to make the impossible possible.",
