,n_nodes,n_edges,density,avg_in_degree,avg_out_degree,avg_clustering,weak_components,strong_components,reciprocity,assortativity,avg_shortest_path_length,diameter,avg_edge_weight,max_edge_weight,label
ai_expert,124,150,0.00983477576711251,1.2096774193548387,1.2096774193548387,0.025940860215053766,1,2,0.0,-0.1308191263417715,6.608838185156045,14,1.0066666666666666,2,1
ai_expert_formatted,141,172,0.008713272543059777,1.2198581560283688,1.2198581560283688,0.016715022566086396,1,2,0.0,-0.07676861421640996,6.408308004052685,18,1.0,1,1
ai_expert_refined 2 copy,105,114,0.010439560439560439,1.0857142857142856,1.0857142857142856,0.012698412698412698,1,9,0.0,0.02575107296137344,10.14047619047619,24,1.0,1,1
ai_expert_refined 2,105,114,0.010439560439560439,1.0857142857142856,1.0857142857142856,0.012698412698412698,1,9,0.0,0.02575107296137344,10.14047619047619,24,1.0,1,1
ai_expert_refined copy,105,114,0.010439560439560439,1.0857142857142856,1.0857142857142856,0.012698412698412698,1,9,0.0,0.02575107296137344,10.14047619047619,24,1.0,1,1
ai_expert_refined,105,114,0.010439560439560439,1.0857142857142856,1.0857142857142856,0.012698412698412698,1,9,0.0,0.02575107296137344,10.14047619047619,24,1.0,1,1
arts_expert copy,122,134,0.009077360791220701,1.098360655737705,1.098360655737705,0.01092896174863388,1,14,0.0,-0.037085323503964526,8.059748001625795,19,1.0,1,1
arts_expert,122,134,0.009077360791220701,1.098360655737705,1.098360655737705,0.01092896174863388,1,14,0.0,-0.037085323503964526,8.059748001625795,19,1.0,1,1
bioacoustics_expert,107,119,0.01049197672368189,1.1121495327102804,1.1121495327102804,0.0,1,17,0.0,0.009842281960244424,7.620701816258156,25,1.0,1,1
circadian_rhythm_expert_expanded,123,144,0.009596161535385846,1.170731707317073,1.170731707317073,0.020557491289198607,1,8,0.013888888888888888,-0.009610094747413042,7.200719712115154,22,1.0069444444444444,2,1
cleaned_nutrition_expert,119,134,0.009542800170915824,1.1260504201680672,1.1260504201680672,0.0,1,11,0.0,-0.02945166171023106,7.295114656031904,18,1.007462686567164,2,1
glacial_expert,96,115,0.012609649122807017,1.1979166666666667,1.1979166666666667,0.0,1,2,0.0,-0.13249636148478616,5.880921052631579,15,1.017391304347826,2,1
good_creativity_expert_expanded copy,156,182,0.007526881720430108,1.1666666666666667,1.1666666666666667,0.007575757575757576,1,3,0.01098901098901099,-0.09264339919627859,7.49520264681555,20,1.0054945054945055,2,1
good_creativity_expert_expanded,156,182,0.007526881720430108,1.1666666666666667,1.1666666666666667,0.007575757575757576,1,3,0.01098901098901099,-0.09264339919627859,7.49520264681555,20,1.0054945054945055,2,1
good_decision_expert,132,159,0.00919500346981263,1.2045454545454546,1.2045454545454546,0.01835016835016835,1,2,0.0,-0.0748710728099342,6.984270182743465,19,1.0062893081761006,2,1
good_language_acquisition_expert_freespeech,181,220,0.006752608962553714,1.2154696132596685,1.2154696132596685,0.018223274576865737,1,3,0.01818181818181818,-0.06694322476583058,7.183364027010436,18,1.009090909090909,2,1
good_nutrition_expert_expanded,180,218,0.006765983860955928,1.211111111111111,1.211111111111111,0.0,1,8,0.0,-0.0665264744785402,6.527188081936686,17,1.018348623853211,2,1
great_decision_expert_full 2 copy,170,220,0.007657500870170553,1.2941176470588236,1.2941176470588236,0.01357266435986159,1,2,0.01818181818181818,-0.08351895385958857,5.8359206404455275,15,1.0136363636363637,2,1
great_decision_expert_full 2,170,220,0.007657500870170553,1.2941176470588236,1.2941176470588236,0.01357266435986159,1,2,0.01818181818181818,-0.08351895385958857,5.8359206404455275,15,1.0136363636363637,2,1
great_decision_expert_full copy,170,220,0.007657500870170553,1.2941176470588236,1.2941176470588236,0.01357266435986159,1,2,0.01818181818181818,-0.08351895385958857,5.8359206404455275,15,1.0136363636363637,2,1
great_decision_expert_full,170,220,0.007657500870170553,1.2941176470588236,1.2941176470588236,0.01357266435986159,1,2,0.01818181818181818,-0.08351895385958857,5.8359206404455275,15,1.0136363636363637,2,1
language_expert copy,162,198,0.00759144237405107,1.2222222222222223,1.2222222222222223,0.009729570840681951,1,5,0.010101010101010102,0.0024253788829171757,6.01303581013726,14,1.0,1,1
language_expert,162,198,0.00759144237405107,1.2222222222222223,1.2222222222222223,0.009729570840681951,1,5,0.010101010101010102,0.0024253788829171757,6.01303581013726,14,1.0,1,1
memory_expert copy,105,126,0.011538461538461539,1.2,1.2,0.02933106575963719,1,16,0.0,-0.09968300737442373,5.947802197802198,21,1.0158730158730158,2,1
memory_expert,105,126,0.011538461538461539,1.2,1.2,0.02933106575963719,1,16,0.0,-0.09968300737442373,5.947802197802198,21,1.0158730158730158,2,1
mental_expert,151,177,0.007814569536423841,1.1721854304635762,1.1721854304635762,0.02293177756753916,1,3,0.0,0.04832191780821921,7.000529801324503,17,1.0282485875706215,5,1
mind_expert,94,116,0.013269274765499885,1.2340425531914894,1.2340425531914894,0.04589665653495441,1,19,0.017241379310344827,0.05847521937559456,7.395790436970945,25,1.0172413793103448,3,1
moral_expert copy,134,165,0.009258220177308945,1.2313432835820894,1.2313432835820894,0.022598048717451705,1,3,0.0,-0.07754791990510798,5.503534956794972,15,1.0,1,1
moral_expert,134,165,0.009258220177308945,1.2313432835820894,1.2313432835820894,0.022598048717451705,1,3,0.0,-0.07754791990510798,5.503534956794972,15,1.0,1,1
music_expert copy,122,151,0.010228966264733776,1.2377049180327868,1.2377049180327868,0.00886736214605067,1,6,0.026490066225165563,-0.04962120172380658,5.73364042812627,13,1.0066225165562914,2,1
music_expert,122,151,0.010228966264733776,1.2377049180327868,1.2377049180327868,0.00886736214605067,1,6,0.026490066225165563,-0.04962120172380658,5.73364042812627,13,1.0066225165562914,2,1
nutrition_expert,119,134,0.009542800170915824,1.1260504201680672,1.1260504201680672,0.0,1,11,0.0,-0.02945166171023106,7.295114656031904,18,1.007462686567164,2,1
olfactory_expert,105,127,0.01163003663003663,1.2095238095238094,1.2095238095238094,0.0,1,8,0.0,-0.07358117745586831,5.886446886446887,15,1.0078740157480315,2,1
quantum_tunneling_expert_expanded,134,176,0.009875434855796207,1.3134328358208955,1.3134328358208955,0.007777986816617195,1,7,0.03409090909090909,-0.09689600729202276,4.852429581416227,11,1.0,1,1
robotics_expert,123,142,0.009462881514061043,1.1544715447154472,1.1544715447154472,0.0,1,12,0.0,-0.14825887645568164,7.226842596294816,21,1.0,1,1
speechlike_coral_expert,131,159,0.009336465061655901,1.213740458015267,1.213740458015267,0.015382835993523017,1,5,0.0,-0.11004362496646951,6.375689958896066,16,1.0062893081761006,2,1
speechlike_crypto_expert,113,140,0.011061946902654867,1.238938053097345,1.238938053097345,0.010458567980691875,1,3,0.0,-0.06423283918475198,5.797250316055626,15,1.0071428571428571,2,1
speechlike_dreams_expert,134,156,0.00875322634945573,1.164179104477612,1.164179104477612,0.0,1,6,0.01282051282051282,-0.08390769171498472,6.768825047693862,15,1.0,1,1
time_expert copy,107,127,0.011197319696702521,1.1869158878504673,1.1869158878504673,0.020249221183800622,1,5,0.0,-0.016936138472676214,5.663551401869159,14,1.0236220472440944,4,1
time_expert,107,127,0.011197319696702521,1.1869158878504673,1.1869158878504673,0.020249221183800622,1,5,0.0,-0.016936138472676214,5.663551401869159,14,1.0236220472440944,4,1
vision_expert_full,149,174,0.007890440776346817,1.167785234899329,1.167785234899329,0.022197042331270518,1,8,0.011494252873563218,-0.05057014054627426,7.131053872664611,17,1.0114942528735633,2,1
ai_novice_refined,81,95,0.014660493827160493,1.1728395061728396,1.1728395061728396,0.0,1,10,0.021052631578947368,-0.08733068085296616,5.95462962962963,14,1.0,1,0
arts_novice copy,77,89,0.015208475734791524,1.155844155844156,1.155844155844156,0.02958152958152958,1,7,0.02247191011235955,-0.04489045503294004,6.15892002734108,16,1.0,1,0
arts_novice,77,89,0.015208475734791524,1.155844155844156,1.155844155844156,0.02958152958152958,1,7,0.02247191011235955,-0.04489045503294004,6.15892002734108,16,1.0,1,0
bioacoustics_novice,74,83,0.015364679748241392,1.1216216216216217,1.1216216216216217,0.0,1,9,0.0,-0.1353253652058433,6.667160310995928,17,1.0,1,0
circadian_rhythm_novice_expanded,69,81,0.017263427109974423,1.173913043478261,1.173913043478261,0.05507246376811594,1,6,0.0,-0.0328947368421053,6.218670076726343,14,1.0,1,0
glacial_novice,66,80,0.018648018648018648,1.2121212121212122,1.2121212121212122,0.0,1,16,0.025,-0.04563966356795045,5.6447552447552445,18,1.0125,2,0
good_creativity_novice_expanded copy,95,126,0.014109742441209407,1.3263157894736841,1.3263157894736841,0.036938500096394836,1,8,0.0,-0.07332748279479791,5.024860022396417,12,1.0158730158730158,2,0
good_creativity_novice_expanded,95,126,0.014109742441209407,1.3263157894736841,1.3263157894736841,0.036938500096394836,1,8,0.0,-0.07332748279479791,5.024860022396417,12,1.0158730158730158,2,0
