dataset,conversation_id,boundary_position,centroid_shift,pooled_dispersion,boundary_score,video_id,level_label
wired,wired_Talia_14,7,0.95648503,0.8473636,1.1287776,talia,undergraduate
wired,wired_Talia_14,20,0.87069297,0.751549,1.1585312,talia,undergraduate
wired,wired_Talia_15,8,0.9374849,0.76919806,1.2187822,talia,graduate
wired,wired_Talia_15,19,0.9565532,0.8375835,1.1420393,talia,graduate
wired,wired_astro_12,9,0.88414603,0.72958475,1.2118483,astro,child
wired,wired_astro_15,12,0.8748263,0.67098135,1.3038013,astro,graduate
wired,wired_crispr_16,8,0.80574965,0.66030884,1.2202618,crispr,expert
wired,wired_crispr_16,21,0.83970535,0.6906594,1.2158024,crispr,expert
wired,wired_dimension_12,7,0.9296245,0.81746507,1.1372039,dimension,child
wired,wired_dimension_12,14,0.7927924,0.66266775,1.1963648,dimension,child
wired,wired_dimension_12,24,1.0154138,0.69098306,1.4695204,dimension,child
wired,wired_dimension_13,7,0.8648907,0.7520747,1.1500063,dimension,teenager
wired,wired_dimension_13,34,1.0012162,0.7784478,1.2861699,dimension,teenager
wired,wired_dimension_14,24,0.84496474,0.70477635,1.1989119,dimension,undergraduate
wired,wired_dimension_14,34,0.92261064,0.807724,1.142235,dimension,undergraduate
wired,wired_dimension_15,26,0.8725802,0.76771307,1.1365967,dimension,graduate
wired,wired_dimension_16,9,0.88804275,0.7584418,1.1708779,dimension,expert
wired,wired_dimension_16,20,0.93794966,0.81112754,1.1563529,dimension,expert
wired,wired_dimension_16,31,0.8487972,0.76832616,1.1047355,dimension,expert
wired,wired_dimension_16,42,0.8890072,0.78692365,1.1297249,dimension,expert
wired,wired_fractal_12,10,1.077036,0.64078844,1.6807982,fractal,child
wired,wired_fractal_12,21,0.9371208,0.76018226,1.232758,fractal,child
wired,wired_fractal_15,9,0.88000405,0.72484577,1.214057,fractal,graduate
wired,wired_fractal_15,18,0.9139313,0.77247036,1.183128,fractal,graduate
wired,wired_fractal_16,25,0.85130227,0.7638263,1.1145234,fractal,expert
wired,wired_gravity_13,8,0.94243664,0.7257319,1.2986016,gravity,teenager
wired,wired_gravity_14,17,0.9673167,0.7080145,1.3662386,gravity,undergraduate
wired,wired_gravity_14,25,0.8929658,0.7355997,1.2139289,gravity,undergraduate
wired,wired_gravity_15,17,0.7463451,0.6577599,1.134677,gravity,graduate
wired,wired_hacking_12,11,0.9594817,0.76627547,1.2521368,hacking,child
wired,wired_hacking_15,9,0.8520388,0.76269644,1.1171402,hacking,graduate
wired,wired_hacking_16,10,0.7961854,0.6922887,1.1500771,hacking,expert
wired,wired_infinity_14,9,0.9771616,0.6883522,1.4195663,infinity,undergraduate
wired,wired_infinity_15,20,0.8912488,0.75672096,1.1777774,infinity,graduate
wired,wired_internet_12,7,1.0170681,0.7920046,1.2841696,internet,child
wired,wired_internet_14,23,0.98056626,0.8158395,1.2019107,internet,undergraduate
wired,wired_laser_12,13,0.75955665,0.49133328,1.5459093,laser,child
wired,wired_laser_12,22,0.9773872,0.68585944,1.4250547,laser,child
wired,wired_laser_13,11,0.8303627,0.6887702,1.205573,laser,teenager
wired,wired_laser_15,17,0.8699026,0.76629233,1.1352098,laser,graduate
wired,wired_laser_16,9,0.9907755,0.80805093,1.22613,laser,expert
wired,wired_machine_12,14,1.0205896,0.70310444,1.4515476,machine,child
wired,wired_machine_12,25,0.98242015,0.74101937,1.3257685,machine,child
wired,wired_machine_13,8,0.97568595,0.7535465,1.294792,machine,teenager
wired,wired_machine_14,9,0.79699457,0.6632447,1.2016599,machine,undergraduate
wired,wired_memory_12,8,0.9498945,0.7660165,1.2400445,memory,child
wired,wired_moravec_13,14,0.8718465,0.7940372,1.097992,moravec,teenager
wired,wired_nano_12,13,0.86078286,0.74133784,1.1611209,nano,child
wired,wired_nano_13,9,0.89107764,0.7692293,1.1584032,nano,teenager
wired,wired_nuclear_12,10,0.9189263,0.68677443,1.3380322,nuclear,child
wired,wired_sensing_12,18,0.8531494,0.7565777,1.1276429,sensing,child
wired,wired_sensing_13,12,0.92195636,0.73188514,1.2597009,sensing,teenager
wired,wired_sensing_13,38,0.9056257,0.7940843,1.1404654,sensing,teenager
wired,wired_sensing_14,7,0.9671372,0.8021784,1.2056386,sensing,undergraduate
wired,wired_sensing_14,15,0.9407172,0.77001023,1.2216945,sensing,undergraduate
wired,wired_sensing_15,8,0.8364246,0.72472924,1.1541201,sensing,graduate
wired,wired_sensing_15,19,0.98035324,0.8327318,1.1772738,sensing,graduate
wired,wired_sensing_16,14,0.8643589,0.7786675,1.1100488,sensing,expert
wired,wired_sleep_12,11,0.91136414,0.82381153,1.1062775,sleep,child
wired,wired_sleep_12,20,0.8899075,0.80897003,1.10005,sleep,child
wired,wired_sleep_14,15,0.90902025,0.7582795,1.198793,sleep,undergraduate
wired,wired_sleep_15,8,0.84114975,0.7541515,1.1153591,sleep,graduate
wired,wired_time_12,9,0.9358468,0.71092856,1.3163725,time,child
wired,wired_time_12,18,0.91435933,0.79798204,1.1458395,time,child
wired,wired_time_15,8,0.85768014,0.7426611,1.1548742,time,graduate
wired,wired_zero_14,15,0.94884974,0.83433044,1.1372589,zero,undergraduate
wired,wired_zero_15,7,0.96503615,0.7152629,1.3492049,zero,graduate
wired,wired_zero_16,16,0.8295493,0.671168,1.2359786,zero,expert
