dataset,video_id,conversation_id,level,level_label,episode_id,n_episode_utterances,dyad_ss,dyad_df,speaker_ss,speaker_df,episode_dispersion_dyad,episode_dispersion_speaker
wired,astro,wired_astro_12,0,child,0,21.0,16.39971828655065,20.0,15.498754301168793,19.0,0.9055307362688096,0.9031743522641856
wired,astro,wired_astro_12,0,child,1,35.0,25.990980561045003,34.0,25.257209854445552,33.0,0.874322940758515,0.874854271058477
wired,astro,wired_astro_13,1,teenager,0,53.0,41.60976998488407,52.0,40.51400750945336,51.0,0.8945322153643733,0.8912868809238295
wired,astro,wired_astro_14,2,undergraduate,0,52.0,37.73346955377383,51.0,36.86467254776348,50.0,0.8601580971163272,0.8586579359414723
wired,astro,wired_astro_15,3,graduate,0,33.0,25.0668706000788,32.0,24.324918897980638,31.0,0.8850648034197623,0.8858187191297471
wired,astro,wired_astro_15,3,graduate,1,34.0,26.211649844136055,33.0,25.496759416109164,32.0,0.8912308452467713,0.8926218302021363
wired,astro,wired_astro_16,4,expert,0,42.0,29.833717780162043,41.0,29.1509721164256,40.0,0.8530250014944954,0.8536827882244317
wired,blockchain,wired_blockchain_12,0,child,0,20.0,15.820708147891676,19.0,15.091136237373677,18.0,0.9125069040226685,0.9156399170153467
wired,blockchain,wired_blockchain_13,1,teenager,0,32.0,25.259434953181923,31.0,24.104534457222112,30.0,0.9026740731630145,0.8963729591567361
wired,blockchain,wired_blockchain_14,2,undergraduate,0,23.0,16.63188955266018,22.0,15.97277999401625,21.0,0.8694797178004625,0.8721287583514437
wired,blockchain,wired_blockchain_15,3,graduate,0,36.0,27.736284244943178,35.0,26.409633142013554,34.0,0.8902051809224847,0.88133643742987
wired,blockchain,wired_blockchain_16,4,expert,0,68.0,54.43619929483834,67.0,53.04255686784789,66.0,0.9013770501239337,0.8964792825594473
wired,crispr,wired_crispr_12,0,child,0,21.0,16.257047616018205,20.0,15.191799089260215,19.0,0.9015832633766613,0.8941858716838231
wired,crispr,wired_crispr_13,1,teenager,0,24.0,17.872562828743614,23.0,16.677361384705954,22.0,0.8815145767801059,0.8706674917113868
wired,crispr,wired_crispr_14,2,undergraduate,0,29.0,22.658468227257632,28.0,21.726833898125182,27.0,0.8995726808414893,0.8970493586098895
wired,crispr,wired_crispr_15,3,graduate,0,41.0,32.60602824158611,40.0,31.951389658457344,39.0,0.9028569687606408,0.905133361167793
wired,crispr,wired_crispr_16,4,expert,0,34.0,26.484584106552376,33.0,25.226697623790766,32.0,0.8958588922056929,0.8878819182433334
wired,crispr,wired_crispr_16,4,expert,1,42.0,29.834591139170172,41.0,28.52182898830588,40.0,0.8530374872266204,0.8444203483500662
wired,crispr,wired_crispr_16,4,expert,2,26.0,18.91947160689204,25.0,18.23804020523513,24.0,0.8699303789819514,0.8717329533089805
wired,dimension,wired_dimension_12,0,child,0,16.0,11.352334433690485,15.0,10.008937363281076,14.0,0.869955341140777,0.8455318429114422
wired,dimension,wired_dimension_12,0,child,1,7.0,3.4994338685106534,6.0,2.99911096338899,5.0,0.7637008433183172,0.774481886604069
wired,dimension,wired_dimension_12,0,child,2,14.0,8.999501055638268,13.0,8.508435655188762,12.0,0.832027230306902,0.8420429351280513
wired,dimension,wired_dimension_12,0,child,3,52.0,40.994352505290934,51.0,39.64332035581409,50.0,0.8965549807106518,0.890430461696073
wired,dimension,wired_dimension_13,1,teenager,0,19.0,14.16418702431238,18.0,13.304497686475054,17.0,0.8870734350257963,0.8846567192810558
wired,dimension,wired_dimension_13,1,teenager,1,51.0,39.788036891761294,50.0,36.18947518321049,49.0,0.8920542235958674,0.8593955538776681
