dataset,video_id,conversation_id,level,level_label,n_utterances,expert_utterance_proportion,pr_naive,pr_row_corrected,pr_both_corrected,mean_sdi,median_sdi,directional_innovation_mean,directional_persistence_mean,sustained_direction_precision,sustained_direction_variation,n_sdi_events,total_sdi_weight,mean_sdi_expert,mean_sdi_partner,match_id
wired,talia,wired_Talia_12,0,child,27,0.7407407407407407,16.181811840069336,42.062964982525436,47.500552835885415,0.42287540192774786,0.4066065671314243,1.0528368337929404,0.40453487862545656,0.09484324577000396,0.9051567542299961,6.0,2.537252411566487,0.4346209468396028,0.41112985701589294,wired::talia
wired,talia,wired_Talia_13,1,teenager,60,0.6666666666666666,23.029034179105295,37.46442829731822,41.767521546324474,0.4635042174698862,0.4524004390949081,1.0464923575655825,0.4434654937079788,0.09582747255865667,0.9041725274413434,32.0,14.832134959036358,0.515263180369738,0.41174525457003436,wired::talia
wired,talia,wired_Talia_14,2,undergraduate,44,0.6818181818181818,18.61839473831557,33.47759094419676,36.902616285547026,0.49371570726962205,0.48782796238876,1.042558291188882,0.4947183976550863,0.0773734395416079,0.9226265604583921,21.0,10.368029852662064,0.5379659364330123,0.4450404551898929,wired::talia
wired,talia,wired_Talia_15,3,graduate,43,0.6511627906976745,17.342065446858594,29.631373427024535,32.30685887178974,0.4642145191113194,0.40777001860748896,0.9662834665275918,0.5279222299929721,0.0817096687125382,0.9182903312874618,18.0,8.355861344003749,0.5143668268985266,0.41406221132411225,wired::talia
wired,talia,wired_Talia_16,4,expert,44,0.36363636363636365,21.715176649019615,45.394155359895294,51.792217091199966,0.33557595513550514,0.3574114699439731,0.895505596108439,0.38281183463375323,0.09488224819155196,0.905117751808448,9.0,3.0201835962195465,0.3800496431077075,0.29999700475774327,wired::talia
wired,astro,wired_astro_12,0,child,56,0.7321428571428571,22.54342991241991,38.16757648724448,42.60372388917311,0.44786932279287084,0.4417668266626668,0.9838371618351085,0.45962627940035883,0.06711019860227647,0.9328898013977235,15.0,6.718039841893063,0.4967450523549899,0.40510305942601676,wired::astro
wired,astro,wired_astro_13,1,teenager,53,0.8490566037735849,18.396211145444497,28.303802029557477,30.684645196875458,0.3793853026436207,0.30762013225327545,0.9832658063031534,0.38721344666586877,0.09004476247867406,0.9099552375213259,5.0,1.8969265132181035,0.4280694746854752,0.30635904458083885,wired::astro
wired,astro,wired_astro_14,2,undergraduate,52,0.6730769230769231,21.65585874471593,39.162429737557794,43.86766706772429,0.39144403186164484,0.38313982540351227,0.8727966111889023,0.4491493415369077,0.07792045190509157,0.9220795480949084,9.0,3.5229962867548035,0.36028661694801245,0.41636996379255076,wired::astro
wired,astro,wired_astro_15,3,graduate,67,0.5522388059701493,27.28744895894122,47.215189113391475,54.19897342834622,0.4009482094689223,0.4096534470309059,0.9298852813438966,0.43440570773946613,0.07388226789740034,0.9261177321025996,21.0,8.419912398847368,0.39537882729539375,0.40601128417213006,wired::astro
wired,astro,wired_astro_16,4,expert,42,0.5476190476190477,19.77665581318594,39.31550619392954,44.024261601951736,0.30095952673142795,0.27768090096182524,0.8279083899422902,0.360999242063129,0.07960047003012306,0.920399529969877,6.0,1.8057571603885676,0.36273302204664654,0.23918603141620934,wired::astro
wired,crispr,wired_crispr_12,0,child,21,0.6666666666666666,11.503852590485353,26.11523812498258,28.198871719326718,0.5798420259155148,0.46865611318172257,0.97464974254636,0.6616642156375079,0.08330300939704141,0.9166969906029586,4.0,2.3193681036620593,0.46865611318172257,0.691027938649307,wired::crispr
wired,crispr,wired_crispr_13,1,teenager,24,0.7083333333333334,13.231193851719242,31.643089234982416,34.715378382486875,0.4059881186163105,0.40606720197173485,0.9473495858718691,0.4448893498333819,0.06351253216714413,0.9364874678328559,3.0,1.2179643558489315,0.41781634932452716,0.3823316571998772,wired::crispr
wired,crispr,wired_crispr_14,2,undergraduate,29,0.5172413793103449,13.56912064349568,25.69281624552246,27.692804746155158,0.41681105901053517,0.39128520074561185,0.9964441984305337,0.43229140338458666,0.09422013927836308,0.905779860721637,6.0,2.500866354063211,0.3603958855792035,0.47322623244186696,wired::crispr
wired,crispr,wired_crispr_15,3,graduate,41,0.4146341463414634,20.89128868877218,43.385736165231044,49.30014767847349,0.36110355319003995,0.3356511857830736,0.9840433588934062,0.37483530753242444,0.09002657726531911,0.9099734227346808,4.0,1.4444142127601598,0.3356511857830736,0.3865559205970063,wired::crispr
wired,crispr,wired_crispr_16,4,expert,102,0.4215686274509804,30.276600603019162,43.3718702990644,49.29298749990579,0.3207098271949383,0.3265060770200125,0.8323534626447366,0.38621958879067814,0.09025037627169624,0.9097496237283038,23.0,7.37632602548358,0.33460016587710867,0.30555673045075243,wired::crispr
wired,dimension,wired_dimension_12,0,child,89,0.6966292134831461,22.84672256858441,30.729324326746283,33.586518445641644,0.384126343233274,0.3602271037125705,0.9490368608028837,0.4115648911581149,0.09115761761504562,0.9088423823849544,44.0,16.901559102264056,0.3935490718807009,0.3747036145858473,wired::dimension
wired,dimension,wired_dimension_13,1,teenager,95,0.6842105263157895,19.673752230392058,24.715088583715897,26.525820105502966,0.35263071457711875,0.33844471214995897,0.9246826874788571,0.3929330117849272,0.1101903620941326,0.8898096379058674,46.0,16.22101287054746,0.33778541487914143,0.36747601427509613,wired::dimension
wired,dimension,wired_dimension_14,2,undergraduate,99,0.6767676767676768,24.79622123483487,33.06937513736415,36.34102242466236,0.3631576667906491,0.3423671762392948,0.9092120911984857,0.4242824346011195,0.10480367548456158,0.8951963245154384,38.0,13.799991338044666,0.34425222729651456,0.38206310628478374,wired::dimension
wired,dimension,wired_dimension_15,3,graduate,92,0.75,24.54961791396887,33.511378111992606,36.91925474542456,0.3449345446830468,0.3263492593920324,0.9802459182086338,0.35299382398778334,0.09482891171412502,0.905171088285875,28.0,9.65816725112531,0.3461796560434843,0.34368943332260943,wired::dimension
wired,dimension,wired_dimension_16,4,expert,95,0.5368421052631579,28.507364130778363,40.64911847649091,45.71118376459962,0.38978039141221527,0.39405677790039384,1.0152994793331858,0.3858903845155356,0.0853527142188939,0.9146472857811061,42.0,16.37077643931304,0.38879662233206685,0.39076416049236373,wired::dimension
wired,fractal,wired_fractal_12,0,child,46,0.6521739130434783,12.551316347139592,17.12385561152414,18.006935827739856,0.4313454756423845,0.41153117763247626,0.887181640774843,0.5329559970921351,0.10901135513839223,0.8909886448616078,22.0,9.48960046413246,0.4013759408061478,0.4613150104786213,wired::fractal
wired,fractal,wired_fractal_13,1,teenager,40,0.825,16.21875129353333,27.358546543889112,29.622112450592883,0.5438957859515662,0.4980287229723397,0.9336612312460424,0.6083907331515777,0.06116435484175883,0.9388356451582411,5.0,2.719478929757831,0.607793142209133,0.44804975156521576,wired::fractal
wired,fractal,wired_fractal_14,2,undergraduate,47,0.7872340425531915,23.437166117463264,48.09374464792021,55.328761732056456,0.478733185713202,0.4683530441698725,1.0598478712462964,0.469318697632789,0.08542312508246519,0.9145768749175348,8.0,3.829865485705616,0.4887098829257483,0.4687564885006559,wired::fractal
wired,fractal,wired_fractal_15,3,graduate,54,0.6851851851851852,20.380135387151967,33.10932368451465,36.45921885430321,0.4982591090169927,0.48528193801588176,1.0147190294014075,0.4955022958319673,0.08474427642623225,0.9152557235737677,19.0,9.466923071322862,0.5176348347885875,0.476730524826332,wired::fractal
wired,fractal,wired_fractal_16,4,expert,85,0.49411764705882355,30.718779213774162,48.185716181502706,55.56495005363573,0.36744777220196817,0.33600452606230446,1.0137086277719478,0.36236742600572613,0.09739958544758336,0.9026004145524167,32.0,11.758328710462981,0.33427242456651135,0.400623119837425,wired::fractal
wired,gravity,wired_gravity_12,0,child,71,0.676056338028169,24.451592498348653,37.20729231888318,41.49607454808042,0.415824724151973,0.40501411036838364,1.024206200796824,0.40245763095400067,0.0959559076022173,0.9040440923977827,35.0,14.553865345319055,0.4410085516220994,0.3891594950659569,wired::gravity
wired,gravity,wired_gravity_13,1,teenager,116,0.8103448275862069,37.506889470962044,55.55101107398828,65.54522165890467,0.41388600634989764,0.4033119400684494,0.9845842550060255,0.4276190921824721,0.07943889841867655,0.9205611015813234,29.0,12.002694184147032,0.43465281046171333,0.391635859087238,wired::gravity
wired,gravity,wired_gravity_14,2,undergraduate,102,0.7941176470588235,30.320830412078493,43.10005532501223,48.96018872512076,0.42321444283613635,0.40106489322597716,0.9318820118365476,0.4709111402574467,0.09530105732231357,0.9046989426776865,26.0,11.003575513739545,0.4342789833527175,0.4121499023195553,wired::gravity
wired,gravity,wired_gravity_15,3,graduate,86,0.5930232558139535,28.518793302832794,43.155437958868426,48.99003892246394,0.3558241059216429,0.35626827035509934,0.8787083035309031,0.43460450811939766,0.08097559924308924,0.9190244007569107,24.0,8.539778542119429,0.3993476902247585,0.3123005216185272,wired::gravity
wired,gravity,wired_gravity_16,4,expert,151,0.423841059602649,41.72397775949518,57.861339825231234,68.73390287284535,0.30295234399433474,0.32988039469463387,0.9031345954863735,0.3473646601246345,0.08911559657526932,0.9108844034247306,34.0,10.300379695807381,0.30426585840342635,0.301638829585243,wired::gravity
wired,hacking,wired_hacking_12,0,child,40,0.7,18.382716379989652,34.683426068459184,38.349545221155445,0.43421993604599385,0.37499623680561234,0.9432501444252305,0.47341680213829346,0.062315939611305333,0.9376840603886947,13.0,5.64485916859792,0.43489417826654514,0.43343332012201713,wired::hacking
wired,hacking,wired_hacking_13,1,teenager,37,0.6486486486486487,18.033540989819198,36.324620741635016,40.34302877332535,0.35941881465756154,0.38272354973754374,0.8837699023502535,0.4420346532819108,0.0812873784316747,0.9187126215683253,10.0,3.5941881465756156,0.4117198536053359,0.3071177757097872,wired::hacking
wired,hacking,wired_hacking_14,2,undergraduate,56,0.7321428571428571,23.987190769610745,42.09071216391672,47.526947160778256,0.43605300868908736,0.43355181075623206,0.997804142462444,0.44461618571403,0.0700623903258488,0.9299376096741512,11.0,4.796583095579961,0.47967991198779814,0.3837007247306345,wired::hacking
wired,hacking,wired_hacking_15,3,graduate,66,0.5,32.62807032326355,65.0851077575212,79.04925923964784,0.4754693909635274,0.4673163631902174,1.044736386605434,0.45881640535320484,0.08824986464299409,0.9117501353570059,14.0,6.656571473489384,0.45641971172648266,0.4945190702005723,wired::hacking
wired,hacking,wired_hacking_16,4,expert,94,0.40425531914893614,40.84393907124712,72.5953009046122,90.55761892217616,0.41878835583350993,0.37471828355924136,0.9164513953388292,0.4502886726023906,0.06965091085581494,0.930349089144185,10.0,4.187883558335099,0.40562625699366645,0.43195045467335336,wired::hacking
wired,infinity,wired_infinity_12,0,child,43,0.7209302325581395,17.994992570546113,31.257666264984177,34.22842420635845,0.3766026568716773,0.3651297863060309,0.9590312080415073,0.40600445893409776,0.09030055080824544,0.9096994491917546,16.0,6.025642509946837,0.37488476974256574,0.3783205440007888,wired::infinity
wired,infinity,wired_infinity_13,1,teenager,53,0.7924528301886793,16.3592641150061,23.82920980766308,25.55855809272084,0.42076290514856585,0.3404852157100542,0.9850790191055513,0.43424925024967126,0.10805664409358084,0.8919433559064192,8.0,3.3661032411885268,0.49528736289991315,0.34623844739721865,wired::infinity
wired,infinity,wired_infinity_14,2,undergraduate,92,0.8043478260869565,26.736065826648847,37.86151991496177,42.2379833461258,0.42074965199465414,0.37429905643646233,0.9488964524933645,0.4542593886310442,0.07598342668250245,0.9240165733174975,27.0,11.360240603855662,0.4612772379685645,0.3771045594073659,wired::infinity
wired,infinity,wired_infinity_15,3,graduate,68,0.6911764705882353,26.4341275869877,43.55154436847445,49.41188552824161,0.42232742316608435,0.3541567039314432,0.9694225334506372,0.4412706487243469,0.07330267807645113,0.9266973219235488,19.0,8.024221040155602,0.43798596055825134,0.4049290482858987,wired::infinity
wired,infinity,wired_infinity_16,4,expert,46,0.4782608695652174,21.949085619037522,43.75491130166135,49.82575820040579,0.41713011298323166,0.31289583325375897,0.7912997996096544,0.5241090769759832,0.09145629388954761,0.9085437061104524,3.0,1.251390338949695,0.48270056745777057,0.28598920403415395,wired::infinity
wired,internet,wired_internet_12,0,child,61,0.7868852459016393,23.15389633354653,37.480451378894436,41.80596710390125,0.471359171304182,0.4253493207863011,1.0375841300955984,0.45534805920785826,0.09463865396891982,0.9053613460310802,19.0,8.955824254779458,0.5158053656873666,0.4219745108784214,wired::internet
wired,internet,wired_internet_13,1,teenager,53,0.8679245283018868,25.47432071132254,50.02538963888755,57.960977993510426,0.43170949605348635,0.46960938637493255,0.9628822046209249,0.4477020246782277,0.06870516704021436,0.9312948329597857,7.0,3.0219664723744044,0.3775458494208356,0.5039276915636874,wired::internet
wired,internet,wired_internet_14,2,undergraduate,63,0.7142857142857143,30.30336384710221,58.84252036401542,70.08023969598726,0.4888821536466033,0.4877154279358813,1.0492855109832717,0.4675288081114512,0.0707015756536349,0.9292984243463651,24.0,11.73317168751848,0.5230482415849019,0.45471606570830475,wired::internet
wired,internet,wired_internet_15,3,graduate,37,0.40540540540540543,21.119109633471062,51.11429723543483,59.369992226032196,0.501374052893289,0.5364721660265761,1.0019696383854482,0.5021665914619267,0.05607453412850924,0.9439254658714907,7.0,3.5096183702530226,0.5284587376721684,0.4810605393091294,wired::internet
wired,internet,wired_internet_16,4,expert,72,0.375,30.58341964551791,53.98841999461245,63.378754220942604,0.3960376662942712,0.4183793571474703,0.9889238823605492,0.4088249328551655,0.07390940138970853,0.9260905986102914,20.0,7.920753325885424,0.3955049758633271,0.3965703567252153,wired::internet
wired,laser,wired_laser_12,0,child,73,0.7534246575342466,19.012242029108332,25.678728949017287,27.68290552854676,0.3779911135685743,0.39441485666466836,0.8369900666883574,0.4830932877240995,0.1037167140785961,0.8962832859214039,27.0,10.205760066351505,0.3702029882215681,0.38637832548073486,wired::laser
wired,laser,wired_laser_13,1,teenager,76,0.7368421052631579,26.178256314489538,40.276837252520956,45.35103129553824,0.38368380973962396,0.34073856571800676,0.9393860054034424,0.4195047910333274,0.08152367665806284,0.9184763233419372,18.0,6.906308575313231,0.42003990717106193,0.34732771230818593,wired::laser
