,n_nodes,n_edges,density,avg_in_degree,avg_out_degree,avg_clustering,weak_components,strong_components,reciprocity,assortativity,avg_shortest_path_length,diameter,avg_edge_weight,max_edge_weight
ai_novice_refined,81,95,0.014660493827160493,1.1728395061728396,1.1728395061728396,0.0,1,10,0.021052631578947368,-0.08733068085296616,5.95462962962963,14,1.0,1
arts_novice copy,77,89,0.015208475734791524,1.155844155844156,1.155844155844156,0.02958152958152958,1,7,0.02247191011235955,-0.04489045503294004,6.15892002734108,16,1.0,1
arts_novice,77,89,0.015208475734791524,1.155844155844156,1.155844155844156,0.02958152958152958,1,7,0.02247191011235955,-0.04489045503294004,6.15892002734108,16,1.0,1
bioacoustics_novice,74,83,0.015364679748241392,1.1216216216216217,1.1216216216216217,0.0,1,9,0.0,-0.1353253652058433,6.667160310995928,17,1.0,1
circadian_rhythm_novice_expanded,69,81,0.017263427109974423,1.173913043478261,1.173913043478261,0.05507246376811594,1,6,0.0,-0.0328947368421053,6.218670076726343,14,1.0,1
glacial_novice,66,80,0.018648018648018648,1.2121212121212122,1.2121212121212122,0.0,1,16,0.025,-0.04563966356795045,5.6447552447552445,18,1.0125,2
good_creativity_novice_expanded copy,95,126,0.014109742441209407,1.3263157894736841,1.3263157894736841,0.036938500096394836,1,8,0.0,-0.07332748279479791,5.024860022396417,12,1.0158730158730158,2
good_creativity_novice_expanded,95,126,0.014109742441209407,1.3263157894736841,1.3263157894736841,0.036938500096394836,1,8,0.0,-0.07332748279479791,5.024860022396417,12,1.0158730158730158,2
good_decision_novice copy,95,117,0.013101903695408734,1.231578947368421,1.231578947368421,0.010334928229665072,1,2,0.05128205128205128,0.024647705569607194,5.441433370660694,14,1.0341880341880343,2
good_decision_novice,95,117,0.013101903695408734,1.231578947368421,1.231578947368421,0.010334928229665072,1,2,0.05128205128205128,0.024647705569607194,5.441433370660694,14,1.0341880341880343,2
good_language_acquisition_novice_freespeech,101,130,0.01287128712871287,1.2871287128712872,1.2871287128712872,0.036484362721986484,1,3,0.0,-0.14283347925885614,4.962376237623762,11,1.0076923076923077,2
good_nutrition_novice_expanded,116,151,0.011319340329835082,1.3017241379310345,1.3017241379310345,0.010632183908045977,1,6,0.0,-0.013889217518869975,5.088755622188906,12,1.0,1
great_decision_novice_full,116,159,0.01191904047976012,1.3706896551724137,1.3706896551724137,0.011383731211317418,1,3,0.050314465408805034,0.030870497515515155,4.897301349325337,12,1.0377358490566038,3
language_novice copy,100,125,0.012626262626262626,1.25,1.25,0.04344444444444444,1,8,0.0,-0.037668643870667574,5.638989898989899,14,1.008,2
language_novice,100,125,0.012626262626262626,1.25,1.25,0.04344444444444444,1,8,0.0,-0.037668643870667574,5.638989898989899,14,1.008,2
memory_novice copy,75,90,0.016216216216216217,1.2,1.2,0.04281481481481482,1,4,0.022222222222222223,-0.06542251496379939,5.501621621621622,14,1.011111111111111,2
memory_novice,75,90,0.016216216216216217,1.2,1.2,0.04281481481481482,1,4,0.022222222222222223,-0.06542251496379939,5.501621621621622,14,1.011111111111111,2
mental_novice,82,107,0.01610960554049985,1.3048780487804879,1.3048780487804879,0.03197831978319783,1,3,0.037383177570093455,-0.06198526224534025,5.163203854260765,13,1.0093457943925233,2
mind_novice,67,81,0.018317503392130258,1.208955223880597,1.208955223880597,0.05223880597014925,1,4,0.024691358024691357,-0.08497563043017584,5.308909995477159,12,1.0123456790123457,2
moral_novice copy,83,105,0.015427563914193358,1.2650602409638554,1.2650602409638554,0.033228150698030215,1,5,0.0,-0.0944194068881099,5.097854833970026,12,1.0095238095238095,2
moral_novice,83,105,0.015427563914193358,1.2650602409638554,1.2650602409638554,0.033228150698030215,1,5,0.0,-0.0944194068881099,5.097854833970026,12,1.0095238095238095,2
music_novice,76,95,0.016666666666666666,1.25,1.25,0.0,1,3,0.021052631578947368,-0.11254997835332473,4.134035087719298,8,1.0,1
olfactory_novice,66,78,0.01818181818181818,1.1818181818181819,1.1818181818181819,0.0,1,5,0.0,-0.13369755695289146,5.565034965034965,12,1.0,1
quantum_tunneling_novice_expanded,70,104,0.021532091097308487,1.4857142857142858,1.4857142857142858,0.051821036106750394,1,6,0.057692307692307696,-0.005885483837949634,4.467494824016563,12,1.0,1
robotics_novice,78,87,0.014485514485514486,1.1153846153846154,1.1153846153846154,0.0,1,6,0.0,-0.10323795994626561,6.543123543123543,15,1.0,1
speechlike_coral_novice,84,104,0.01491681009753299,1.2380952380952381,1.2380952380952381,0.0,1,6,0.0,-0.14167833198261254,5.167240390131957,12,1.0192307692307692,3
speechlike_crypto_novice,73,83,0.015791476407914763,1.1369863013698631,1.1369863013698631,0.0,1,8,0.04819277108433735,-0.05740987983978642,7.992389649923896,20,1.0,1
speechlike_dreams_novice,72,95,0.018583724569640064,1.3194444444444444,1.3194444444444444,0.018518518518518517,1,5,0.0,-0.1497848720727822,4.592331768388107,11,1.0,1
time_novice copy,75,94,0.016936936936936937,1.2533333333333334,1.2533333333333334,0.005225885225885226,1,3,0.0425531914893617,-0.019302345711070736,4.592432432432433,10,1.0425531914893618,2
time_novice,75,94,0.016936936936936937,1.2533333333333334,1.2533333333333334,0.005225885225885226,1,3,0.0425531914893617,-0.019302345711070736,4.592432432432433,10,1.0425531914893618,2
vision_novice_full,97,130,0.013960481099656358,1.3402061855670102,1.3402061855670102,0.022647684503354602,1,2,0.046153846153846156,0.11466346153846155,5.234750859106529,13,1.0153846153846153,2
