dataset,conversation_id,n_utterances_historical,n_utterances_rebuilt,n_utterances_difference,expert_n_utterances_historical,expert_n_utterances_rebuilt,expert_n_utterances_difference,partner_n_utterances_historical,partner_n_utterances_rebuilt,partner_n_utterances_difference,speaker_centroid_cosine_distance_historical,speaker_centroid_cosine_distance_rebuilt,speaker_centroid_cosine_distance_difference,radial_distance_median_historical,radial_distance_median_rebuilt,radial_distance_median_difference,radial_distance_q90_historical,radial_distance_q90_rebuilt,radial_distance_q90_difference,participation_ratio_historical,participation_ratio_rebuilt,participation_ratio_difference
wired,wired_Talia_12,27,27,0,19,19,0,1,1,0,0.4667110443115234,0.4667110443115234,0.0,0.5584412740442606,0.5584413724005212,9.835626058052327e-08,0.6628236426199032,0.6628235219307836,-1.2068911958706963e-07,16.18181202151208,16.18181159107105,-4.3044103037459536e-07
wired,wired_astro_12,56,56,0,35,35,0,11,11,0,0.170952022075653,0.1709519624710083,-5.96046446921239e-08,0.5362635138642298,0.5362634345522486,-7.931198120481042e-08,0.7421664895730467,0.742166503168918,1.3595871317662045e-08,22.5434297804966,22.54343298701317,3.2065165704864285e-06
wired,wired_blockchain_12,20,20,0,11,11,0,4,4,0,0.3689928650856018,0.368992805480957,-5.960464483090178e-08,0.546826448655412,0.5468263902926352,-5.836277672255363e-08,0.653285137102892,0.6532852831946598,1.4609176779423194e-07,12.488392764842065,12.488393536893373,7.720513082176694e-07
wired,wired_crispr_12,21,21,0,12,12,0,1,1,0,0.7981826066970825,0.798182487487793,-1.1920928955078125e-07,0.5534334777884355,0.5534333240413047,-1.5374713080440472e-07,0.6399124727866132,0.6399126719877645,1.9920115124083537e-07,11.503852873468878,11.503853252475356,3.790064777575708e-07
wired,wired_dimension_12,89,89,0,46,46,0,15,15,0,0.2411547899246215,0.2411547303199768,-5.96046446921239e-08,0.5425206430780827,0.5425207187033281,7.562524539928006e-08,0.693300693418078,0.693300575943245,-1.1747483297241956e-07,22.84672270827264,22.84672153508895,-1.1731836906392346e-06
wired,wired_fractal_12,46,46,0,25,25,0,5,5,0,0.3141074776649475,0.3141072988510132,-1.7881393432617188e-07,0.5187308987014196,0.5187308516510849,-4.7050334739395794e-08,0.6794170524814107,0.6794170338599493,-1.8621461372880788e-08,12.551316265424004,12.551314878349292,-1.3870747128663652e-06
wired,wired_gravity_12,72,71,-1,37,38,1,6,7,1,0.1805167198181152,0.1610233187675476,-0.0194934010505676,0.5817380489333562,0.5674601140953476,-0.014277934838008655,0.7208487602794001,0.7191246903644639,-0.0017240699149362326,23.455777909402087,24.45159133706801,0.9958134276659223
wired,wired_hacking_12,40,40,0,25,25,0,9,9,0,0.2658806443214416,0.2658805251121521,-1.192092894952701e-07,0.4934790766575374,0.4934790333664023,-4.329113506562621e-08,0.7187366547064589,0.7187365441287021,-1.1057775672895787e-07,18.38271641388703,18.38271535213288,-1.061754151265859e-06
wired,wired_infinity_12,43,43,0,26,26,0,10,10,0,0.1411344408988952,0.14113450050354,5.96046448031462e-08,0.5454357771390197,0.5454357130943532,-6.404466645903995e-08,0.6835316031980707,0.6835316768049283,7.360685760904317e-08,17.994992439623648,17.99499397245203,1.5328283815563282e-06
wired,wired_internet_12,61,61,0,38,38,0,6,6,0,0.3510351181030273,0.3510351181030273,0.0,0.5706075528884311,0.5706074639571085,-8.893132263931847e-08,0.7407705023369414,0.7407704639553873,-3.838155415714084e-08,23.153896275026916,23.15389523717231,-1.037854605812072e-06
