dataset,conversation_id,video_id,level,level_label,n_utterances,speaker_centroid_cosine_distance,radial_distance_median,radial_distance_q90,participation_ratio,video_group,expertise_c,log_n_c
wired,wired_astro_12,astro,0,child,56,0.1709519624710083,0.5362634345522486,0.742166503168918,22.54343298701317,wired::astro,-2.0,0.02416075199699197
wired,wired_astro_13,astro,1,teenager,53,0.2984951734542846,0.5291874494383095,0.7426724946684543,18.396213282242215,wired::astro,-1.0,-0.03089902518603571
wired,wired_astro_14,astro,2,undergraduate,52,0.1103326082229614,0.4189951330533034,0.739280481539588,21.65586085663915,wired::astro,0.0,-0.04994722015673014
wired,wired_astro_15,astro,3,graduate,67,0.1078911423683166,0.5216588461315442,0.7626877917927166,27.287449957596916,wired::astro,1.0,0.20350168065280805
wired,wired_astro_16,astro,4,expert,42,0.1024337410926818,0.4164392840268067,0.723482540461599,19.776657828327014,wired::astro,2.0,-0.26352132045478927
wired,wired_blockchain_12,blockchain,0,child,20,0.368992805480957,0.5468263902926352,0.6532852831946598,12.488393536893373,wired::blockchain,-2.0,-1.0054586651841668
wired,wired_blockchain_13,blockchain,1,teenager,32,0.3298254609107971,0.5342706078931461,0.6287724745469462,17.12844717875149,wired::blockchain,-1.0,-0.5354550359384311
wired,wired_blockchain_14,blockchain,2,undergraduate,23,0.3428347706794739,0.4620440807956766,0.6740176791456866,13.782367431469453,wired::blockchain,0.0,-0.865696722809008
wired,wired_blockchain_15,blockchain,3,graduate,36,0.2336809635162353,0.5131953281792033,0.6741328235066797,19.518008833205595,wired::blockchain,1.0,-0.41767200028204776
wired,wired_blockchain_16,blockchain,4,expert,68,0.1919437050819397,0.5599596458390982,0.6770470685894157,32.257592904676294,wired::blockchain,2.0,0.21831676643794928
wired,wired_crispr_12,crispr,0,child,21,0.798182487487793,0.5534333240413047,0.6399126719877645,11.503853252475356,wired::crispr,-2.0,-0.9566685010147347
wired,wired_crispr_13,crispr,1,teenager,24,0.4311200380325317,0.5015362393557165,0.6981283616572341,13.231193794131055,wired::crispr,-1.0,-0.8231371083902119
wired,wired_crispr_14,crispr,2,undergraduate,29,0.2857814431190491,0.5372247106256349,0.6456247217921283,13.569119991923843,wired::crispr,0.0,-0.6338951087516835
wired,wired_crispr_15,crispr,3,graduate,41,0.1598553657531738,0.5811623457628015,0.664361510550908,20.89128822502323,wired::crispr,1.0,-0.2876188720338497
wired,wired_crispr_16,crispr,4,expert,102,0.1237434148788452,0.5344396008886986,0.7001604071613412,30.27660129228592,wired::crispr,2.0,0.623781874546113
wired,wired_dimension_12,dimension,0,child,89,0.2411547303199768,0.5425207187033281,0.693300575943245,22.84672153508895,wired::dimension,-2.0,0.48744543099398197
wired,wired_dimension_13,dimension,1,teenager,95,0.2029083967208862,0.560665385527421,0.6673498399359883,19.673749949685973,wired::dimension,-1.0,0.5526859528623831
wired,wired_dimension_14,dimension,2,undergraduate,99,0.2110263705253601,0.5434438350998734,0.6942708143634165,24.79622304802113,wired::dimension,0.0,0.5939289113964321
wired,wired_dimension_15,dimension,3,graduate,92,0.1305670142173767,0.55384929507609,0.7057566356303553,24.549620608989812,wired::dimension,1.0,0.5205976383108828
wired,wired_dimension_16,dimension,4,expert,95,0.1159048676490783,0.5817018818955925,0.7249140861823176,28.50736494443963,wired::dimension,2.0,0.5526859528623831
wired,wired_fractal_12,fractal,0,child,46,0.3141072988510132,0.5187308516510849,0.6794170338599493,12.551314878349292,wired::fractal,-2.0,-0.1725495422490626
wired,wired_fractal_13,fractal,1,teenager,40,0.256989061832428,0.4761924605263408,0.6441074235281291,16.218751241847333,wired::fractal,-1.0,-0.3123114846242214
wired,wired_fractal_14,fractal,2,undergraduate,47,0.3280720114707947,0.553604341243175,0.7259863454180521,23.43716680211792,wired::fractal,0.0,-0.15104333702809924
wired,wired_fractal_15,fractal,3,graduate,54,0.2050283551216125,0.5695088807442119,0.7466752737978627,20.38013585897696,wired::fractal,1.0,-0.012206892173883155
wired,wired_fractal_16,fractal,4,expert,85,0.1841711401939392,0.5810063548216365,0.7036546319120974,30.71877656597956,wired::fractal,2.0,0.441460317752159
wired,wired_gravity_12,gravity,0,child,71,0.1610233187675476,0.5674601140953476,0.7191246903644639,24.45159133706801,wired::gravity,-2.0,0.2614889383031578
wired,wired_gravity_13,gravity,1,teenager,116,0.2589760422706604,0.5608682180486311,0.708411361603041,37.506889307550985,wired::gravity,-1.0,0.7523992523682068
wired,wired_gravity_14,gravity,2,undergraduate,102,0.231886625289917,0.5666825654723335,0.6989937532571895,30.320830205629186,wired::gravity,0.0,0.623781874546113
wired,wired_gravity_15,gravity,3,graduate,86,0.1130607724189758,0.485886824563819,0.7363871335578536,28.518795928531052,wired::gravity,1.0,0.45315635751534966
