video_group,child,teenager,undergraduate,graduate,expert
wired::astro,1,1,1,1,1
wired::blockchain,1,1,1,1,1
wired::crispr,1,1,1,1,1
wired::dimension,1,1,1,1,1
wired::fractal,1,1,1,1,1
wired::gravity,1,1,1,1,1
wired::hacking,1,1,1,1,1
wired::infinity,1,1,1,1,1
wired::internet,1,1,1,1,1
wired::laser,1,1,1,1,1
wired::machine,1,1,1,1,1
wired::memory,1,1,1,1,1
wired::moravec,1,1,1,1,1
wired::nano,1,1,1,1,1
wired::neuro,1,1,1,1,1
wired::nuclear,1,1,1,1,1
wired::sensing,1,1,1,1,1
wired::sleep,1,1,1,1,1
wired::talia,1,1,1,1,1
wired::time,1,1,1,1,1
wired::zero,1,1,1,1,1
