dataset,conversation_id,video_id,level,level_label,n_utterances,speaker_centroid_cosine_distance,radial_distance_median,radial_distance_q90,participation_ratio,video_group,expertise_c,log_n_c
wired,wired_astro_12,astro,0,child,56,0.170952022075653,0.5362635138642298,0.7421664895730467,22.5434297804966,wired::astro,-2.0,0.023843698092890442
wired,wired_astro_13,astro,1,teenager,53,0.2984951138496399,0.5291874141845523,0.74267239029829,18.396211113766093,wired::astro,-1.0,-0.03121607909013724
wired,wired_astro_14,astro,2,undergraduate,52,0.1103326082229614,0.4189951552689312,0.7392804908223556,21.655858705132932,wired::astro,0.0,-0.05026427406083167
wired,wired_astro_15,astro,3,graduate,67,0.1078912615776062,0.5216588592669825,0.7626877976966824,27.28744933188747,wired::astro,1.0,0.20318462674870652
wired,wired_astro_16,astro,4,expert,42,0.1024336814880371,0.4164392782996759,0.7234825462700448,19.776655941662717,wired::astro,2.0,-0.2638383743588908
wired,wired_blockchain_12,blockchain,0,child,20,0.3689928650856018,0.546826448655412,0.653285137102892,12.488392764842065,wired::blockchain,-2.0,-1.0057757190882683
wired,wired_blockchain_13,blockchain,1,teenager,32,0.3298254609107971,0.5342706081139859,0.6287725526350173,17.128447259725146,wired::blockchain,-1.0,-0.5357720898425327
wired,wired_blockchain_14,blockchain,2,undergraduate,23,0.3428347706794739,0.4620440440786133,0.6740175726524263,13.782367129655771,wired::blockchain,0.0,-0.8660137767131095
wired,wired_blockchain_15,blockchain,3,graduate,36,0.2336809635162353,0.5131952977346804,0.6741328297403137,19.51800959480231,wired::blockchain,1.0,-0.4179890541861493
wired,wired_blockchain_16,blockchain,4,expert,68,0.1919436454772949,0.5599597445638056,0.6770470992504959,32.25759230930518,wired::blockchain,2.0,0.21799971253384776
wired,wired_crispr_12,crispr,0,child,21,0.7981826066970825,0.5534334777884355,0.6399124727866132,11.503852873468878,wired::crispr,-2.0,-0.9569855549188362
wired,wired_crispr_13,crispr,1,teenager,24,0.431120216846466,0.5015363324411874,0.6981284128541287,13.231193890823352,wired::crispr,-1.0,-0.8234541622943135
wired,wired_crispr_14,crispr,2,undergraduate,29,0.2857813239097595,0.5372246045971926,0.6456247335392223,13.56912061303254,wired::crispr,0.0,-0.6342121626557851
wired,wired_crispr_15,crispr,3,graduate,41,0.1760258674621582,0.5773618801627844,0.6729202841820127,20.950464394527327,wired::crispr,1.0,-0.28793592593795125
wired,wired_crispr_16,crispr,4,expert,98,0.1158751249313354,0.5418430955281892,0.7040323655534823,29.59597220634349,wired::crispr,2.0,0.5834594860283131
wired,wired_dimension_12,dimension,0,child,89,0.2411547899246215,0.5425206430780827,0.693300693418078,22.84672270827264,wired::dimension,-2.0,0.48712837708988044
wired,wired_dimension_13,dimension,1,teenager,96,0.2029083967208862,0.5612036792001523,0.6670647832134131,19.13188015172639,wired::dimension,-1.0,0.5628401988255769
wired,wired_dimension_14,dimension,2,undergraduate,99,0.207045316696167,0.5424385958778137,0.6933610535241939,25.12878113865915,wired::dimension,0.0,0.5936118574923306
wired,wired_dimension_15,dimension,3,graduate,92,0.1305670142173767,0.5538493871784987,0.7057565910232257,24.549618103426617,wired::dimension,1.0,0.5202805844067813
wired,wired_dimension_16,dimension,4,expert,95,0.1164036989212036,0.5805047891528285,0.7242331633017351,28.7049240579097,wired::dimension,2.0,0.5523688989582816
wired,wired_fractal_12,fractal,0,child,46,0.3141074776649475,0.5187308987014196,0.6794170524814107,12.551316265424004,wired::fractal,-2.0,-0.17286659615316413
wired,wired_fractal_13,fractal,1,teenager,40,0.256989061832428,0.4761924502627865,0.6441074828345877,16.218751325459337,wired::fractal,-1.0,-0.31262853852832295
wired,wired_fractal_14,fractal,2,undergraduate,47,0.3280720114707947,0.5536043286430661,0.7259863877056831,23.43716590783529,wired::fractal,0.0,-0.15136039093220077
wired,wired_fractal_15,fractal,3,graduate,52,0.2086057066917419,0.5740678609395313,0.7381674992587143,20.352006114891346,wired::fractal,1.0,-0.05026427406083167
wired,wired_fractal_16,fractal,4,expert,84,0.1876769661903381,0.5765623971345537,0.70550246572679,30.28903205421402,wired::fractal,2.0,0.42930880620105416
wired,wired_gravity_12,gravity,0,child,72,0.1805167198181152,0.5817380489333562,0.7208487602794001,23.455777909402087,wired::gravity,-2.0,0.2751581263737961
wired,wired_gravity_13,gravity,1,teenager,117,0.2590842843055725,0.5584420242747746,0.7087593765370709,37.98082348174295,wired::gravity,-1.0,0.7606659421554971
wired,wired_gravity_14,gravity,2,undergraduate,104,0.2306740283966064,0.563331769110401,0.6989278073793445,30.583747163491328,wired::gravity,0.0,0.6428829064991133
wired,wired_gravity_15,gravity,3,graduate,91,0.1062366366386413,0.4852875447027694,0.7410477059899844,29.51489296905898,wired::gravity,1.0,0.5093515138745905
wired,wired_gravity_16,gravity,4,expert,150,0.0774230360984802,0.5325390947648665,0.7400758627658359,40.88099051543287,wired::gravity,2.0,1.0091273014539963
wired,wired_hacking_12,hacking,0,child,40,0.2658806443214416,0.4934790766575374,0.7187366547064589,18.38271641388703,wired::hacking,-2.0,-0.31262853852832295
wired,wired_hacking_13,hacking,1,teenager,37,0.2364705801010131,0.435308189371244,0.6656000959222798,18.037927589704346,wired::hacking,-1.0,-0.39059007999803486
wired,wired_hacking_14,hacking,2,undergraduate,56,0.2019294500350952,0.5422791851091622,0.6563311840407571,24.00533298874441,wired::hacking,0.0,0.023843698092890442
wired,wired_hacking_15,hacking,3,graduate,67,0.2480778098106384,0.6062410486805768,0.763656375629509,32.589521184280265,wired::hacking,1.0,0.20318462674870652
wired,wired_hacking_16,hacking,4,expert,94,0.1627163290977478,0.5997023736812102,0.7248057256377965,40.70452173948382,wired::hacking,2.0,0.5417867896277446
wired,wired_infinity_12,infinity,0,child,43,0.1411344408988952,0.5454357771390197,0.6835316031980707,17.994992439623648,wired::infinity,-2.0,-0.24030787694869682
wired,wired_infinity_13,infinity,1,teenager,53,0.2317103743553161,0.4773617814171537,0.6982194702822767,16.35926408604924,wired::infinity,-1.0,-0.03121607909013724
wired,wired_infinity_14,infinity,2,undergraduate,92,0.1623880267143249,0.5515361024555552,0.7230016471412944,26.73606629047173,wired::infinity,0.0,0.5202805844067813
wired,wired_infinity_15,infinity,3,graduate,68,0.2171588540077209,0.5287158359263824,0.7142608066765186,26.50826207967475,wired::infinity,1.0,0.21799971253384776
wired,wired_infinity_16,infinity,4,expert,47,0.1562065482139587,0.4393807088203411,0.6756150650029977,22.455543988615485,wired::infinity,2.0,-0.15136039093220077
wired,wired_internet_12,internet,0,child,61,0.3510351181030273,0.5706075528884311,0.7407705023369414,23.153896275026916,wired::internet,-2.0,0.10936587153105215
wired,wired_internet_13,internet,1,teenager,53,0.3171443939208984,0.5544899305244109,0.7382414413438867,25.474321064348004,wired::internet,-1.0,-0.03121607909013724
wired,wired_internet_14,internet,2,undergraduate,62,0.1782437562942505,0.6071264616741652,0.7215883173852622,29.919717519842376,wired::internet,0.0,0.12562639240283247
wired,wired_internet_15,internet,3,graduate,37,0.2303799390792846,0.5741491302248332,0.7844521670007737,21.119109690342807,wired::internet,1.0,-0.39059007999803486
wired,wired_internet_16,internet,4,expert,72,0.1267862915992736,0.5250309770596764,0.7809063662127421,30.583419826012356,wired::internet,2.0,0.2751581263737961
wired,wired_laser_12,laser,0,child,73,0.2581362724304199,0.5303033208311159,0.7142704899122422,19.012241677997206,wired::laser,-2.0,0.28895144850613175
wired,wired_laser_13,laser,1,teenager,76,0.1910094022750854,0.5181648021512752,0.7303459438554032,26.17825617743647,wired::laser,-1.0,0.32922534764407185
wired,wired_laser_14,laser,2,undergraduate,64,0.3609763979911804,0.5674369460162616,0.7398535573704478,24.920168010976283,wired::laser,0.0,0.1573750907174123
wired,wired_laser_15,laser,3,graduate,53,0.2122483253479004,0.6021532804498816,0.7648470032886621,23.772834723047687,wired::laser,1.0,-0.03121607909013724
wired,wired_laser_16,laser,4,expert,111,0.2123095989227295,0.5938318533251093,0.7664094368533428,34.18713936792062,wired::laser,2.0,0.7080222086700747
wired,wired_machine_12,machine,0,child,69,0.3481630682945251,0.5632543568106652,0.7063290517078671,21.354120904541123,wired::machine,-2.0,0.23259851195500048
