feature,partial_r,n,abs_partial_r
turn_jump_A_to_B_mean,0.7770128560973727,13,0.7770128560973727
turn_jump_mean,0.6992638950445444,13,0.6992638950445444
align_lag_A_to_B,0.5376196871760976,13,0.5376196871760976
hull_overlap_ratio_min,0.499374185711033,13,0.499374185711033
align_lag_B_to_A,-0.49427297087592276,13,0.49427297087592276
align_eps,0.462911235950911,13,0.462911235950911
entropy_slope_B,0.4237227661758527,13,0.4237227661758527
k_clusters,0.390346108494984,13,0.390346108494984
containment_B_in_A,0.37919557772637186,13,0.37919557772637186
cross_nn_B_to_A,-0.35421723204165323,13,0.35421723204165323
influence_A_toward_B,0.3452582595259124,13,0.3452582595259124
centroid_dist_std,0.2836251805961269,13,0.2836251805961269
centroid_dist_slope,0.2628282142021963,13,0.2628282142021963
turn_jump_B_to_A_mean,0.25614634760390836,13,0.25614634760390836
hull_area_A,0.24016890305465838,13,0.24016890305465838
expertise_A_ord,0.22542284686085742,13,0.22542284686085742
expertise_B_ord,0.22542284686085737,13,0.22542284686085737
turn_jump_std,0.21671083851508083,13,0.21671083851508083
entropy_total,0.21264491169840744,13,0.21264491169840744
entropy_slope_A,-0.18919233844307254,13,0.18919233844307254
nmi_speaker_cluster,0.1779773937254796,13,0.1779773937254796
mi_speaker_cluster,0.14125714460377614,13,0.14125714460377614
centroid_dist_mean,-0.1280367556906262,13,0.1280367556906262
entropy_B,-0.12259442693219952,13,0.12259442693219952
influence_B_toward_A,0.115892081564311,13,0.115892081564311
nmi_turn_clusters,0.11089933711728234,13,0.11089933711728234
hausdorff_AB,0.11029149535083123,13,0.11029149535083123
cross_nn_A_to_B,0.11029149535083123,13,0.11029149535083123
hull_overlap_area,0.10862926195231637,13,0.10862926195231637
mi_turn_clusters,0.10672457024043663,13,0.10672457024043663
influence_asymmetry_AminusB,0.10246944202034103,13,0.10246944202034103
containment_A_in_B,0.08086542199973742,13,0.08086542199973742
hull_area_B,0.07080764519161079,13,0.07080764519161079
entropy_A,-0.026034217049567068,13,0.026034217049567068
