feature,partial_r,n,abs_partial_r
expertise_gap_signed,-0.9999999999999999,13,0.9999999999999999
turn_jump_mean,-0.9912391076212267,13,0.9912391076212267
entropy_A,-0.9744633307738282,13,0.9744633307738282
entropy_total,-0.9236633306107526,13,0.9236633306107526
k_clusters,-0.9192067203962296,13,0.9192067203962296
hull_area_A,0.8990775850064053,13,0.8990775850064053
containment_B_in_A,0.8728427795180408,13,0.8728427795180408
turn_jump_A_to_B_mean,-0.8576487700966113,13,0.8576487700966113
hull_overlap_ratio_min,0.8498871227486453,13,0.8498871227486453
expertise_B_ord,-0.8482789919717046,13,0.8482789919717046
turn_jump_B_to_A_mean,-0.6722398583974596,13,0.6722398583974596
containment_A_in_B,-0.6508842660507933,13,0.6508842660507933
turn_jump_std,-0.6223009722812518,13,0.6223009722812518
centroid_dist_std,-0.6174636551860135,13,0.6174636551860135
centroid_dist_slope,0.6083561923035186,13,0.6083561923035186
centroid_dist_mean,-0.5645319914439854,13,0.5645319914439854
entropy_slope_B,0.5245284955805064,13,0.5245284955805064
mi_turn_clusters,-0.5213983929390851,13,0.5213983929390851
hull_area_B,-0.4283990472752842,13,0.4283990472752842
cross_nn_B_to_A,0.41253097600971694,13,0.41253097600971694
entropy_B,-0.2823753843657088,13,0.2823753843657088
hull_overlap_area,-0.2782249284787216,13,0.2782249284787216
mi_speaker_cluster,-0.22511366577283193,13,0.22511366577283193
cross_nn_A_to_B,-0.15184561143641132,13,0.15184561143641132
hausdorff_AB,-0.15184561143641132,13,0.15184561143641132
nmi_speaker_cluster,-0.14632713110590606,13,0.14632713110590606
entropy_slope_A,0.09372809529839148,13,0.09372809529839148
nmi_turn_clusters,-0.04531161043465127,13,0.04531161043465127
expertise_A_ord,0.015688014192532008,13,0.015688014192532008
