metric,target,partial_r,p,q_fdr,n,dof,k_controls,controls_used
centroid_dist_mean,expertise_gap_abs,0.37829093103014666,0.002880657086681504,0.0912208077449143,64,58,4,"n_utterances,n_A,n_B,align_eps"
centroid_dist_mean,expertise_gap_signed,-0.37829093103014666,0.002880657086681504,0.0912208077449143,64,58,4,"n_utterances,n_A,n_B,align_eps"
centroid_dist_mean,align_lag_asymmetry_AminusB,0.19514360140919218,0.13512734354907185,0.3966922964980302,64,58,4,"n_utterances,n_A,n_B,align_eps"
centroid_dist_mean,influence_asymmetry_AminusB,-0.05757718322913632,0.6621317330526666,0.8936865894433967,64,58,4,"n_utterances,n_A,n_B,align_eps"
centroid_dist_mean,n_utterances,-0.048737413688033804,0.709149701660575,0.8959242664338452,64,59,3,"n_A,n_B,align_eps"
centroid_dist_slope,expertise_gap_abs,-0.23841630499257999,0.06658449837613434,0.3966922964980302,64,58,4,"n_utterances,n_A,n_B,align_eps"
centroid_dist_slope,expertise_gap_signed,0.23841630499257999,0.06658449837613434,0.3966922964980302,64,58,4,"n_utterances,n_A,n_B,align_eps"
centroid_dist_slope,align_lag_asymmetry_AminusB,-0.03991366908027842,0.7620522483749812,0.9128230667025476,64,58,4,"n_utterances,n_A,n_B,align_eps"
centroid_dist_slope,influence_asymmetry_AminusB,0.07852337188025131,0.5509304268609734,0.8447490533535603,64,58,4,"n_utterances,n_A,n_B,align_eps"
centroid_dist_slope,n_utterances,0.02488149251033062,0.849042863650785,0.9506408286227548,64,59,3,"n_A,n_B,align_eps"
centroid_dist_std,expertise_gap_abs,-0.0036492307213342495,0.9779235347531055,0.980208772188717,64,58,4,"n_utterances,n_A,n_B,align_eps"
centroid_dist_std,expertise_gap_signed,0.0036492307213342495,0.9779235347531055,0.980208772188717,64,58,4,"n_utterances,n_A,n_B,align_eps"
centroid_dist_std,align_lag_asymmetry_AminusB,-0.26462253548778886,0.04103077942335731,0.35435673138354046,64,58,4,"n_utterances,n_A,n_B,align_eps"
centroid_dist_std,influence_asymmetry_AminusB,0.04078382970560944,0.7570222523237846,0.9128230667025476,64,58,4,"n_utterances,n_A,n_B,align_eps"
centroid_dist_std,n_utterances,-0.047327255027295394,0.7172072546677637,0.8959242664338452,64,59,3,"n_A,n_B,align_eps"
cross_nn_A_to_B,expertise_gap_abs,-0.059657113468602044,0.6507036550694156,0.8936865894433967,64,58,4,"n_utterances,n_A,n_B,align_eps"
cross_nn_A_to_B,expertise_gap_signed,0.059657113468602044,0.6507036550694156,0.8936865894433967,64,58,4,"n_utterances,n_A,n_B,align_eps"
cross_nn_A_to_B,align_lag_asymmetry_AminusB,0.20694427681350655,0.11262817155781435,0.3966922964980302,64,58,4,"n_utterances,n_A,n_B,align_eps"
cross_nn_A_to_B,influence_asymmetry_AminusB,-0.05878430002282395,0.6554897458576043,0.8936865894433967,64,58,4,"n_utterances,n_A,n_B,align_eps"
cross_nn_A_to_B,n_utterances,0.0716522991031636,0.5831762692673848,0.8656522746937743,64,59,3,"n_A,n_B,align_eps"
cross_nn_B_to_A,expertise_gap_abs,-0.31229546337049485,0.015130542082650633,0.23956691630863503,64,58,4,"n_utterances,n_A,n_B,align_eps"
cross_nn_B_to_A,expertise_gap_signed,0.31229546337049485,0.015130542082650633,0.23956691630863503,64,58,4,"n_utterances,n_A,n_B,align_eps"
cross_nn_B_to_A,align_lag_asymmetry_AminusB,0.1926247260013896,0.1403400868162421,0.3966922964980302,64,58,4,"n_utterances,n_A,n_B,align_eps"
cross_nn_B_to_A,influence_asymmetry_AminusB,-0.0639795917880927,0.6272105488507387,0.8936865894433967,64,58,4,"n_utterances,n_A,n_B,align_eps"
cross_nn_B_to_A,n_utterances,0.04969822954294278,0.7036777032441359,0.8959242664338452,64,59,3,"n_A,n_B,align_eps"
hausdorff_AB,expertise_gap_abs,-0.18919837192344757,0.14767072113482538,0.3966922964980302,64,58,4,"n_utterances,n_A,n_B,align_eps"
hausdorff_AB,expertise_gap_signed,0.18919837192344757,0.14767072113482538,0.3966922964980302,64,58,4,"n_utterances,n_A,n_B,align_eps"
hausdorff_AB,align_lag_asymmetry_AminusB,0.2693959701877077,0.03738925538880111,0.35435673138354046,64,58,4,"n_utterances,n_A,n_B,align_eps"
hausdorff_AB,influence_asymmetry_AminusB,-0.014572217512463211,0.9120070812221264,0.9520953045725494,64,58,4,"n_utterances,n_A,n_B,align_eps"
hausdorff_AB,n_utterances,0.05294799618221547,0.6852817231061856,0.8936865894433967,64,59,3,"n_A,n_B,align_eps"
turn_jump_mean,expertise_gap_abs,-0.08361683075499629,0.5253096280311484,0.8430697349060395,64,58,4,"n_utterances,n_A,n_B,align_eps"
turn_jump_mean,expertise_gap_signed,0.08361683075499629,0.5253096280311484,0.8430697349060395,64,58,4,"n_utterances,n_A,n_B,align_eps"
turn_jump_mean,align_lag_asymmetry_AminusB,-0.12907803839152882,0.325646140843852,0.6445079870867905,64,58,4,"n_utterances,n_A,n_B,align_eps"
turn_jump_mean,influence_asymmetry_AminusB,0.046160716996484545,0.7261701948990114,0.8959242664338452,64,58,4,"n_utterances,n_A,n_B,align_eps"
turn_jump_mean,n_utterances,0.003243323072674827,0.9802087721887169,0.980208772188717,64,59,3,"n_A,n_B,align_eps"
entropy_total,expertise_gap_abs,-0.19455903009523484,0.13632391545735367,0.3966922964980302,64,58,4,"n_utterances,n_A,n_B,align_eps"
entropy_total,expertise_gap_signed,0.19455903009523484,0.13632391545735367,0.3966922964980302,64,58,4,"n_utterances,n_A,n_B,align_eps"
entropy_total,align_lag_asymmetry_AminusB,-0.27116344853370195,0.03611073002414833,0.35435673138354046,64,58,4,"n_utterances,n_A,n_B,align_eps"
entropy_total,influence_asymmetry_AminusB,0.23142140831355018,0.0752214857759792,0.3966922964980302,64,58,4,"n_utterances,n_A,n_B,align_eps"
entropy_total,n_utterances,0.01459998286095787,0.9110799960095182,0.9520953045725494,64,59,3,"n_A,n_B,align_eps"
entropy_A,expertise_gap_abs,-0.17325138110769261,0.18556774236949547,0.42997403719761146,64,58,4,"n_utterances,n_A,n_B,align_eps"
entropy_A,expertise_gap_signed,0.17325138110769261,0.18556774236949547,0.42997403719761146,64,58,4,"n_utterances,n_A,n_B,align_eps"
entropy_A,align_lag_asymmetry_AminusB,-0.3258531284248742,0.011062744094565868,0.23956691630863503,64,58,4,"n_utterances,n_A,n_B,align_eps"
entropy_A,influence_asymmetry_AminusB,0.08531986290169782,0.5168776382553624,0.8430697349060395,64,58,4,"n_utterances,n_A,n_B,align_eps"
