metric,align_lag_asymmetry_AminusB,expertise_gap_abs,expertise_gap_signed,influence_asymmetry_AminusB,n_utterances
centroid_dist_mean,0.13512734354907185,0.002880657086681504,0.002880657086681504,0.6621317330526666,0.709149701660575
centroid_dist_slope,0.7620522483749812,0.06658449837613434,0.06658449837613434,0.5509304268609734,0.849042863650785
centroid_dist_std,0.04103077942335731,0.9779235347531055,0.9779235347531055,0.7570222523237846,0.7172072546677637
containment_A_in_B,0.1447517773084046,0.025098076588671914,0.025098076588671914,0.3196230372138933,0.6065517887393499
containment_B_in_A,0.1508754040568796,0.5324650957301302,0.5324650957301302,0.44291002178046934,0.8963286522885845
cross_nn_A_to_B,0.11262817155781435,0.6507036550694156,0.6507036550694156,0.6554897458576043,0.5831762692673848
cross_nn_B_to_A,0.1403400868162421,0.015130542082650633,0.015130542082650633,0.6272105488507387,0.7036777032441359
entropy_A,0.011062744094565868,0.18556774236949547,0.18556774236949547,0.5168776382553624,0.9606348205359196
entropy_B,0.21695506622664973,0.12769870753416468,0.12769870753416468,0.09970905562298005,0.9069743334727376
entropy_slope_A,0.36137472397915715,0.6867275897828207,0.6867275897828207,0.45760618561964606,0.5007297900035241
entropy_slope_B,0.1251682994578569,0.15450121021502228,0.15450121021502228,0.0024533378807434225,0.4314132533170547
entropy_total,0.03611073002414833,0.13632391545735367,0.13632391545735367,0.0752214857759792,0.9110799960095182
hausdorff_AB,0.03738925538880111,0.14767072113482538,0.14767072113482538,0.9120070812221264,0.6852817231061856
hull_overlap_ratio_min,0.28136504682193664,0.8206172032882442,0.8206172032882442,0.09216563626819041,0.5771594291791025
mi_speaker_cluster,0.10105260456951437,0.15177244156672365,0.15177244156672365,0.22079312032127918,0.8066706477302505
mi_turn_clusters,0.7686931088021454,0.1690806662979476,0.1690806662979476,0.11006858281283938,0.8628634038212346
nmi_speaker_cluster,0.045823169172819034,0.1165220195368104,0.1165220195368104,0.4903075373448884,0.8917782153203335
nmi_turn_clusters,0.5513099085044288,0.29559217050251707,0.29559217050251707,0.40646169040964253,0.8505733729782543
turn_jump_mean,0.325646140843852,0.5253096280311484,0.5253096280311484,0.7261701948990114,0.9802087721887169
