metric,align_lag_asymmetry_AminusB,expertise_gap_abs,expertise_gap_signed,influence_asymmetry_AminusB,n_utterances
centroid_dist_mean,0.3966922964980302,0.0912208077449143,0.0912208077449143,0.8936865894433967,0.8959242664338452
centroid_dist_slope,0.9128230667025476,0.3966922964980302,0.3966922964980302,0.8447490533535603,0.9506408286227548
centroid_dist_std,0.35435673138354046,0.980208772188717,0.980208772188717,0.9128230667025476,0.8959242664338452
containment_A_in_B,0.3966922964980302,0.29803965949047895,0.29803965949047895,0.6445079870867905,0.8864987681575114
containment_B_in_A,0.3966922964980302,0.8430697349060395,0.8430697349060395,0.8091625397912421,0.9520953045725494
cross_nn_A_to_B,0.3966922964980302,0.8936865894433967,0.8936865894433967,0.8936865894433967,0.8656522746937743
cross_nn_B_to_A,0.3966922964980302,0.23956691630863503,0.23956691630863503,0.8936865894433967,0.8959242664338452
entropy_A,0.23956691630863503,0.42997403719761146,0.42997403719761146,0.8430697349060395,0.980208772188717
entropy_B,0.4877987541981749,0.3966922964980302,0.3966922964980302,0.3966922964980302,0.9520953045725494
entropy_slope_A,0.7006244648575497,0.8936865894433967,0.8936865894433967,0.8202375025257806,0.8430697349060395
entropy_slope_B,0.3966922964980302,0.3966922964980302,0.3966922964980302,0.0912208077449143,0.8036129228454941
entropy_total,0.35435673138354046,0.3966922964980302,0.3966922964980302,0.3966922964980302,0.9520953045725494
hausdorff_AB,0.35435673138354046,0.3966922964980302,0.3966922964980302,0.9520953045725494,0.8936865894433967
hull_overlap_ratio_min,0.6074927147291814,0.9392606543660627,0.9392606543660627,0.3966922964980302,0.8656522746937743
mi_speaker_cluster,0.3966922964980302,0.3966922964980302,0.3966922964980302,0.4877987541981749,0.9392606543660627
mi_turn_clusters,0.9128230667025476,0.4118631614950006,0.4118631614950006,0.3966922964980302,0.9520953045725494
nmi_speaker_cluster,0.362766755951484,0.3966922964980302,0.3966922964980302,0.8430697349060395,0.9520953045725494
nmi_turn_clusters,0.8447490533535603,0.6104620912551983,0.6104620912551983,0.7722772117783208,0.9506408286227548
turn_jump_mean,0.6445079870867905,0.8430697349060395,0.8430697349060395,0.8959242664338452,0.980208772188717
