feature,partial_r,n,abs_partial_r
expertise_gap_abs,-1.0,10,1.0
expertise_A_ord,0.8335232492189152,10,0.8335232492189152
entropy_total,-0.7907038871271409,10,0.7907038871271409
turn_jump_B_to_A_mean,-0.7435678962183909,10,0.7435678962183909
hull_area_B,0.6614090859140541,10,0.6614090859140541
entropy_slope_B,0.5645071524274442,10,0.5645071524274442
turn_jump_A_to_B_mean,-0.5532043101397598,10,0.5532043101397598
entropy_slope_A,-0.5141806578691495,10,0.5141806578691495
cross_nn_A_to_B,0.47382695952189924,10,0.47382695952189924
hausdorff_AB,0.47382695952189924,10,0.47382695952189924
entropy_A,0.4663504433154177,10,0.4663504433154177
nmi_speaker_cluster,0.4175117098172347,10,0.4175117098172347
hull_overlap_ratio_min,0.40111795795421196,10,0.40111795795421196
cross_nn_B_to_A,-0.39243703300678023,10,0.39243703300678023
turn_jump_mean,0.38889623407122836,10,0.38889623407122836
mi_turn_clusters,0.3663045279981103,10,0.3663045279981103
turn_jump_std,-0.29875443461087586,10,0.29875443461087586
n_trigrams,0.298747143678754,10,0.298747143678754
containment_A_in_B,-0.294634561658711,10,0.294634561658711
hull_overlap_area,0.26397998560137054,10,0.26397998560137054
entropy_B,-0.2396484255741681,10,0.2396484255741681
nmi_turn_clusters,0.2173144662591525,10,0.2173144662591525
centroid_dist_mean,-0.20943352580206998,10,0.20943352580206998
containment_B_in_A,0.19455341084559405,10,0.19455341084559405
expertise_B_ord,-0.18036719427259407,10,0.18036719427259407
centroid_dist_std,-0.1516007155993041,10,0.1516007155993041
centroid_dist_slope,-0.11177724319237314,10,0.11177724319237314
mi_speaker_cluster,-0.08904500672914693,10,0.08904500672914693
hull_area_A,0.029841982198706263,10,0.029841982198706263
k_clusters,,10,
