type,comment_id,parent_id,author,text,likes,published_at
top,UgxyQPe2DxEtXoDdHLB4AaABAg,,@denyargentina,"I NEED 5 minutes videos of Hasan, please 🤧🤧",0,1762989600
top,Ugxzi6kcFZv4K2-0RwR4AaABAg,,@Kid_Charlemagne76,"She has absolutely nothing to apologize for. She did an ad for jeans and that was it. ""Great jeans"" were a play on words, first of all. And second, it was a catchy slogan to describe her as beautiful, which she is. You people are seriously unhinged. Making connections that have never been there in the first place, tsk tsk. This is why no one respects you",0,1762989120
top,Ugy4dlKRuYRQCU9RRHZ4AaABAg,,@kraidenb.226,"Bro, idgaf, she's hot god damn",1,1762988400
top,UgxA8AP7nO1QaolRNwR4AaABAg,,@mrsmi1ey,"listening to hasan trying to interact with his chat actively kills my brain cells. his chat might have dumber people than people here in  youtube comments, and that's saying quite a lot.",0,1762970400
top,Ugyw6hAWEij_829aEwV4AaABAg,,@aragonconnelly,"this woke ass complaining about blode sexy girl 
classic",2,1762930800
top,UgzcnSS5BQXSqYHo8Nl4AaABAg,,@truecrimescotsman,Is this the dog abuser guy?,2,1762916400
top,UgzBs64007-YC0GM7M54AaABAg,,@drewlopezisajoke,It takes nothing to say you don't fw white supremacy soooooooo she's stupid for not clearing the air,1,1762909200
top,Ugz-YC-xMlFDTo9uk-F4AaABAg,,@drewlopezisajoke,Really happy to see all of her movies tanking in the box office,0,1762909200
top,Ugxg5Q6kBFvVcAMRfNh4AaABAg,,@BohoPulse,"You're underestimating her intelligence. She produces movies, and acts in tv shows and movies. If she wanted to be generic, she'd be like everyone else. I'm not defending her. If she is unsuccessful, she leans into her looks. If people talk about her face being generic (which again it is), she leans into her big boobs for marketing, sex appeal and whiteness (blonde hair, blue eyes). If people call her out on this, then she acts 'dumb' and leans on her 'white innocence.' And the dumb blonde trope has been recycled for eras, so the general audience typically likes it.",2,1762909200
top,UgwhD5KnxWKGcKvj_Jh4AaABAg,,@tripleeyeemoji,"Hasan is trying to hit. Sorry pal, maybe stop being a soy leftist and you’ll get some action",1,1762909200
top,UgwYfjB0JoWw7Kpd8Ox4AaABAg,,@ememem14,she’s not stupid. bad take hasan,1,1762905600
top,UgyZJlAtfTK7wCCZq1h4AaABAg,,@zooaion,she's not dumb,1,1762905600
top,UgxCjfI3lGoI_y1sDm14AaABAg,,@Fageheze,This is why leftists will continue loosing,2,1762905600
top,UgyDmpg-98DhvixJRGx4AaABAg,,@christophervanwyk8732,"Lol. I am reading the total meltdown you lot are having in this comment section about a big fat nothing burger and than I remember your side commit have way more abotions and sterelize your ""trans"" kids and you are not having kids you can teach this poison to and it gives me hope for the future.",0,1762905600
top,UgwKw9j9pF7AvzXSyP94AaABAg,,@christophervanwyk8732,"Lol. GQ came out of this looking like a political hit squad, and Sydney came through this like a champ, not allowing herself to be dragged into the mud.",0,1762905600
top,UgwX97969RBzwx-imGJ4AaABAg,,@sheevinopalpatino4782,Sydney Sweeney could've just said it was about her being conventionally attractive (genes of her parents) and added that Zendaya could've been in her place for the ad. It would've been so easy to distance herself from white supremacy. She chose not to. Now she deserves to face the consequences for her ill-nature.,0,1762905600
top,UgzDrFuKG1oqlCfZyvN4AaABAg,,@Wolfyeh-gp2hh,"Weaponized incompetence always works on men tbh like sure shes just some dumb blonde, buddy.",0,1762905600
top,Ugym4eO9-zOAVCUZfdh4AaABAg,,@GingerTrashPanda,Usually love your takes but calling her stupid on repeat just gives misogyny,2,1762905600
top,Ugym4eO9-zOAVCUZfdh4AaABAg.APNmRPXglcDAPOgeazHR0j,,@lilyangelina,"no literally not to be the woke friend here but ""she's too stupid to be racist"" is literally just misogynistic and weird.... if it was a man in her position, i don't think he'd respond this way. and it's a weird hill to die on",0,1762905600
top,UgxZyh1TkPOs4KR4ul94AaABAg,,@MoMo-rx4zr,I’m tired of the coddling of blonde white women who are beloved by conservatives as some sort of accident. It’s hard to get the conservatives to champion you. It’s like when taylor swift rewrote history and convinced everyone that she was forced to be apolitical when there were interviews of her denouncing feminism prior to becoming a white liberal. Sydney Sweeney is playing from the same book,3,1762905600
top,UgxpMQcyCSEUQ2kqKth4AaABAg,,@SilverDOMO192837,i thought there was more important shit going on? you couldnt pay me to give a fuck,0,1762905600
top,UgyrLFpV--ReAANr2tV4AaABAg,,@ChicagoJoe94,"Everyone in the comments section lacks critical thinking. You people literally support an animal abuser.. but yea, Jeans. 👖 losers",0,1762905600
top,Ugynt2fwtMJFjb3DnGt4AaABAg,,@TAYGARD69,i did da jean ad,0,1762905600
top,UgzLeihrTCzfk38HZJp4AaABAg,,@bentuczinski7613,God I hate blue maga so much,0,1762905600
top,UgzkzTseVHwnEfzhwrh4AaABAg,,@bellyMel19,Clocked it! Her response isn’t normal … she is dumb and racist,0,1762905600
top,Ugy1Jw74t1hIGC0DqNd4AaABAg,,@moneyy2sheisty,"I think that sydney not rebuking how people percieved her american eagle campaign enabled people to be racist. Like, people who didnt think the ad was racist are probably white. People of color who see that ad immediately get a bad taste in their mouths. and I say all because of the rise in conservatism and her riding that wave without being outright about it.",2,1762905600
top,UgwibkR5uZToxnmNYn54AaABAg,,@moneyy2sheisty,"I agree with what people are saying in the comments. Shes not stupid, shes being willfully ignorant and saying the most vague responses to get more of a response out of people. Calling her stupid or a dumb blonde is exactly what she wants. Thats why people are saying that hasan is giving her an out. She wants people to call her a dumb blonde because she capitalizes off of it.",1,1762905600
